name,commonName_new,scientificName_new,listUpdate,commonName_old,scientificName_old
Psilocybe korra,,,removed,,Psilocybe korra
Psilocybe kramburkicola,,,removed,,Psilocybe kramburkicola
Psilocybe musci,,,removed,,Psilocybe musci
Psilocybe stercicola,,,removed,,Psilocybe stercicola
Psilocybe subaeruginosa,,,removed,,Psilocybe subaeruginosa
Psilocybe toogaadyalis,,,removed,,Psilocybe toogaadyalis
Psilocybe sp.,,,removed,,Psilocybe
Psilocybe coprophila,,,removed,,Psilocybe coprophila
Xanthorrhoea minor subsp. lutea,,,removed,Small Grass Tree,Xanthorrhoea minor subsp. lutea
Brachyscome melanocarpa subsp. melanocarpa,,,removed,Black-fruit Daisy,Brachyscome melanocarpa subsp. melanocarpa
Diuris behrii subsp. behrii,,,removed,,Diuris behrii subsp. behrii
Ixodia achillaeoides subsp. arenicola,,,removed,,Ixodia achillaeoides subsp. arenicola
Asplenium bulbiferum subsp. gracillimum,,,removed,Mother Spleenwort,Asplenium bulbiferum subsp. gracillimum
Asplenium bulbiferum,,,removed,Hen And Chickens,Asplenium bulbiferum
Polytelis anthopeplus,,,removed,Regent Parrot,Polytelis anthopeplus
