id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,taxonID,scientificNameAuthority,primaryDiscipline,speciesGroup,ffgactstatus,vicadvisorystatus,modified,extractDate,status,sourceStatus,epbcactStatus,restrictedFlag,establishmentMeans
4076744,Engaeus merosetosus,Western Burrowing Crayfish,Engaeus merosetosus,https://biodiversity.org.au/afd/taxa/013e8c9f-2ff6-48bb-ab30-02fc5f3a2102,dr655,"[{'key': 'taxonID', 'value': '1684'}, {'key': 'scientificNameAuthority', 'value': 'Horwitz, 1990'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Mussels, decapod crustacea'}, {'key': 'ffgactstatus', 'value': 'Endangered'}, {'key': 'vicadvisorystatus', 'value': 'Endangered'}, {'key': 'modified', 'value': '2013-12-18'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",1684,"Horwitz, 1990",Aquatic fauna,"Mussels, decapod crustacea",Endangered,Endangered,2013-12-18,2022-06-05,Endangered,Endangered,,,
4076633,Engaeus phyllocercus,Narracan Burrowing Crayfish,Engaeus phyllocercus,https://biodiversity.org.au/afd/taxa/bb2b1f80-60d6-471e-af23-cd9ab0d6d3e0,dr655,"[{'key': 'taxonID', 'value': '1695'}, {'key': 'scientificNameAuthority', 'value': 'Smith & Schuster, 1913'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Mussels, decapod crustacea'}, {'key': 'ffgactstatus', 'value': 'Endangered'}, {'key': 'vicadvisorystatus', 'value': 'Endangered'}, {'key': 'restrictedFlag', 'value': 'rest'}, {'key': 'modified', 'value': '2012-07-11'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",1695,"Smith & Schuster, 1913",Aquatic fauna,"Mussels, decapod crustacea",Endangered,Endangered,2012-07-11,2022-06-05,Endangered,Endangered,,rest,
4076154,Engaeus rostrogaleatus,Strzelecki Burrowing Crayfish,Engaeus rostrogaleatus,https://biodiversity.org.au/afd/taxa/cd66d8b6-dfa7-4ba0-b298-08a88ba73f60,dr655,"[{'key': 'taxonID', 'value': '1683'}, {'key': 'scientificNameAuthority', 'value': 'Horwitz, 1990'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Mussels, decapod crustacea'}, {'key': 'ffgactstatus', 'value': 'Endangered'}, {'key': 'vicadvisorystatus', 'value': 'Endangered'}, {'key': 'restrictedFlag', 'value': 'rest'}, {'key': 'modified', 'value': '2012-07-11'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",1683,"Horwitz, 1990",Aquatic fauna,"Mussels, decapod crustacea",Endangered,Endangered,2012-07-11,2022-06-05,Endangered,Endangered,,rest,
4076918,Engaeus sericatus,Hairy Burrowing Crayfish,Engaeus sericatus,https://biodiversity.org.au/afd/taxa/e4cc22d1-c9b4-4fe8-92bb-133b581696f5,dr655,"[{'key': 'taxonID', 'value': '1692'}, {'key': 'scientificNameAuthority', 'value': 'Clark, 1936'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Mussels, decapod crustacea'}, {'key': 'ffgactstatus', 'value': 'Vulnerable'}, {'key': 'vicadvisorystatus', 'value': 'Vulnerable'}, {'key': 'restrictedFlag', 'value': 'rest'}, {'key': 'modified', 'value': '2013-12-18'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",1692,"Clark, 1936",Aquatic fauna,"Mussels, decapod crustacea",Vulnerable,Vulnerable,2013-12-18,2022-06-05,Vulnerable,Vulnerable,,rest,
4076948,Engaeus sternalis,Freshwater Crayfish Or Yabby,Engaeus sternalis,https://biodiversity.org.au/afd/taxa/49bff2c9-3aec-4cf2-81af-d69bb868aeaa,dr655,"[{'key': 'taxonID', 'value': '1693'}, {'key': 'scientificNameAuthority', 'value': '(Clark, 1936)'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Mussels, decapod crustacea'}, {'key': 'ffgactstatus', 'value': 'Critically Endangered'}, {'key': 'vicadvisorystatus', 'value': 'Critically endangered'}, {'key': 'restrictedFlag', 'value': 'rest'}, {'key': 'modified', 'value': '2012-07-11'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'sourceStatus', 'value': 'Critically Endangered'}]",1693,"(Clark, 1936)",Aquatic fauna,"Mussels, decapod crustacea",Critically Endangered,Critically endangered,2012-07-11,2022-06-05,Critically Endangered,Critically Endangered,,rest,
4076444,Engaeus strictifrons,Portland Burrowing Crayfish,Engaeus strictifrons,https://biodiversity.org.au/afd/taxa/64f5df91-7a61-4115-9f1c-0b370d4e8a2f,dr655,"[{'key': 'taxonID', 'value': '1690'}, {'key': 'scientificNameAuthority', 'value': '(Clark, 1936)'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Mussels, decapod crustacea'}, {'key': 'ffgactstatus', 'value': 'Endangered'}, {'key': 'vicadvisorystatus', 'value': 'Vulnerable'}, {'key': 'restrictedFlag', 'value': 'rest'}, {'key': 'modified', 'value': '2013-12-18'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",1690,"(Clark, 1936)",Aquatic fauna,"Mussels, decapod crustacea",Endangered,Vulnerable,2013-12-18,2022-06-05,Endangered,Endangered,,rest,
4077732,Engaeus tuberculatus,Freshwater Crayfish Or Yabby,Engaeus tuberculatus,https://biodiversity.org.au/afd/taxa/f1b837b8-19ce-4c14-a356-56315f37767a,dr655,"[{'key': 'taxonID', 'value': '1689'}, {'key': 'scientificNameAuthority', 'value': 'Clark, 1936'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Mussels, decapod crustacea'}, {'key': 'ffgactstatus', 'value': 'Endangered'}, {'key': 'vicadvisorystatus', 'value': 'Endangered'}, {'key': 'modified', 'value': '2013-12-18'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",1689,"Clark, 1936",Aquatic fauna,"Mussels, decapod crustacea",Endangered,Endangered,2013-12-18,2022-06-05,Endangered,Endangered,,,
4077345,Engaeus urostrictus,Dandenong Burrowing Crayfish,Engaeus urostrictus,https://biodiversity.org.au/afd/taxa/aa002c30-1ac6-43f0-8259-247b39732ab2,dr655,"[{'key': 'taxonID', 'value': '1685'}, {'key': 'scientificNameAuthority', 'value': 'Riek, 1969'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Mussels, decapod crustacea'}, {'key': 'ffgactstatus', 'value': 'Critically Endangered'}, {'key': 'vicadvisorystatus', 'value': 'Critically endangered'}, {'key': 'restrictedFlag', 'value': 'rest'}, {'key': 'modified', 'value': '2012-07-11'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'sourceStatus', 'value': 'Critically Endangered'}]",1685,"Riek, 1969",Aquatic fauna,"Mussels, decapod crustacea",Critically Endangered,Critically endangered,2012-07-11,2022-06-05,Critically Endangered,Critically Endangered,,rest,
4077887,Engaeus victoriensis,Freshwater Crayfish Or Yabby,Engaeus victoriensis,https://biodiversity.org.au/afd/taxa/c63e7768-45d8-4ede-b3f5-8b5b261f41a8,dr655,"[{'key': 'taxonID', 'value': '1688'}, {'key': 'scientificNameAuthority', 'value': 'Smith & Schuster, 1913'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Mussels, decapod crustacea'}, {'key': 'ffgactstatus', 'value': 'Endangered'}, {'key': 'vicadvisorystatus', 'value': 'Endangered'}, {'key': 'modified', 'value': '2013-12-18'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",1688,"Smith & Schuster, 1913",Aquatic fauna,"Mussels, decapod crustacea",Endangered,Endangered,2013-12-18,2022-06-05,Endangered,Endangered,,,
4076559,Euastacus armatus,Murray River Crayfish,Euastacus armatus,https://biodiversity.org.au/afd/taxa/98156289-1be9-4804-8de1-34104c4b3abb,dr655,"[{'key': 'taxonID', 'value': '1647'}, {'key': 'scientificNameAuthority', 'value': '(von Martens, 1866)'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Mussels, decapod crustacea'}, {'key': 'ffgactstatus', 'value': 'Threatened'}, {'key': 'vicadvisorystatus', 'value': 'Near threatened'}, {'key': 'modified', 'value': '2013-12-13'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Threatened'}, {'key': 'sourceStatus', 'value': 'Threatened'}]",1647,"(von Martens, 1866)",Aquatic fauna,"Mussels, decapod crustacea",Threatened,Near threatened,2013-12-13,2022-06-05,Threatened,Threatened,,,
4077267,Euastacus bidawalus,East Gippsland Spiny Crayfish,Euastacus bidawalus,https://biodiversity.org.au/afd/taxa/e5f3cb27-60f9-4485-a53c-8bab0b139815,dr655,"[{'key': 'taxonID', 'value': '1633'}, {'key': 'scientificNameAuthority', 'value': 'Morgan, 1986'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Mussels, decapod crustacea'}, {'key': 'ffgactstatus', 'value': 'Vulnerable'}, {'key': 'vicadvisorystatus', 'value': 'Vulnerable'}, {'key': 'restrictedFlag', 'value': 'rest'}, {'key': 'modified', 'value': '2013-12-18'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",1633,"Morgan, 1986",Aquatic fauna,"Mussels, decapod crustacea",Vulnerable,Vulnerable,2013-12-18,2022-06-05,Vulnerable,Vulnerable,,rest,
4077755,Euastacus bispinosus,Glenelg Spiny Crayfish,Euastacus bispinosus,https://biodiversity.org.au/afd/taxa/fa41771a-56b3-47bc-a5c9-3db5f768c154,dr655,"[{'key': 'taxonID', 'value': '1646'}, {'key': 'scientificNameAuthority', 'value': 'Clark, 1941'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Mussels, decapod crustacea'}, {'key': 'ffgactstatus', 'value': 'Endangered'}, {'key': 'epbcactStatus', 'value': 'Endangered'}, {'key': 'vicadvisorystatus', 'value': 'Endangered'}, {'key': 'modified', 'value': '2016-10-13'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",1646,"Clark, 1941",Aquatic fauna,"Mussels, decapod crustacea",Endangered,Endangered,2016-10-13,2022-06-05,Endangered,Endangered,Endangered,,
4076182,Euastacus claytoni,Claytons Spiny Crayfish,Euastacus claytoni,https://biodiversity.org.au/afd/taxa/1edd788e-56ca-4080-8804-f332d361c43e,dr655,"[{'key': 'taxonID', 'value': '1643'}, {'key': 'scientificNameAuthority', 'value': 'Riek, 1969'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Mussels, decapod crustacea'}, {'key': 'ffgactstatus', 'value': 'Endangered'}, {'key': 'vicadvisorystatus', 'value': 'Vulnerable'}, {'key': 'restrictedFlag', 'value': 'rest'}, {'key': 'modified', 'value': '2013-12-18'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",1643,"Riek, 1969",Aquatic fauna,"Mussels, decapod crustacea",Endangered,Vulnerable,2013-12-18,2022-06-05,Endangered,Endangered,,rest,
4076995,Euastacus crassus,Alpine Spiny Crayfish,Euastacus crassus,https://biodiversity.org.au/afd/taxa/62e9a5cb-122f-41bc-9d63-faa267b0213e,dr655,"[{'key': 'taxonID', 'value': '1634'}, {'key': 'scientificNameAuthority', 'value': 'Riek, 1951'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Mussels, decapod crustacea'}, {'key': 'ffgactstatus', 'value': 'Endangered'}, {'key': 'vicadvisorystatus', 'value': 'Endangered'}, {'key': 'restrictedFlag', 'value': 'rest'}, {'key': 'modified', 'value': '2012-07-11'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",1634,"Riek, 1951",Aquatic fauna,"Mussels, decapod crustacea",Endangered,Endangered,2012-07-11,2022-06-05,Endangered,Endangered,,rest,
4076383,Euastacus diversus,Freshwater Crayfish Or Yabby,Euastacus diversus,https://biodiversity.org.au/afd/taxa/5d63cd93-4e23-4ee5-a75b-34980bd31ca8,dr655,"[{'key': 'taxonID', 'value': '1635'}, {'key': 'scientificNameAuthority', 'value': 'Riek, 1969'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Mussels, decapod crustacea'}, {'key': 'ffgactstatus', 'value': 'Endangered'}, {'key': 'vicadvisorystatus', 'value': 'Endangered'}, {'key': 'modified', 'value': '2013-12-18'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",1635,"Riek, 1969",Aquatic fauna,"Mussels, decapod crustacea",Endangered,Endangered,2013-12-18,2022-06-05,Endangered,Endangered,,,
