Origin,Species,Authority,Common Name,Family,Group,sch,EPBCA,Flora/Fauna,Classification
,Zieria veronicea subsp. veronicea,(F.Muell.) Benth.,pink zieria,Rutaceae,Dicotyledonae,e,,Flora,vascular
,Zygophyllum billardierei,DC.,coast twinleaf,Zygophyllaceae,Dicotyledonae,r,,Flora,vascular
end,Ambuchanania leucobryoides,"(Yamaguchi, Seppelt, Iwatsuki & Buchanan) Seppelt & Crum",daisy pan moss,Ambuchananiaceae,Bryophyte,r,,Flora,non-vascular
,Austromelanelixia piliferella,"(Essl.) Divakar, Crespo & Lumbsch ",,Parmeliaceae,Lichen,v,,Flora,non-vascular
end,Austroparmelina pallida,(Elix & Kantvilas) Kantvilas & Divakar,,Parmeliaceae,Lichen,e,,Flora,non-vascular
end,Austroparmelina whinrayi,(Elix) Kantvilas & Divakar,,Parmeliaceae,Lichen,r,,Flora,non-vascular
t,Bunodophoron notatum,(Tibell) Wedin,,Sphaerophoraceae,Lichen,e,,Flora,non-vascular
t,Calycidium cuneatum,Stirt.,,Calycidiaceae,Lichen,r,,Flora,non-vascular
t,Calycidium polycarpum,(Colenso) Wedin,,Calycidiaceae,Lichen,r,,Flora,non-vascular
,Cetraria islandica subsp. antarctica,Kärnefelt,,Parmeliaceae,Lichen,r,,Flora,non-vascular
,Erioderma sorediatum,D.J.Galloway & P.M.Jørg.,,Pannariaceae,Lichen,e,,Flora,non-vascular
,Hypotrachyna immaculata,(Kurok.) Hale,,Parmeliaceae,Lichen,r,,Flora,non-vascular
t,Hypotrachyna laevigata,(Sm.) Hale,,Parmeliaceae,Lichen,v,,Flora,non-vascular
end,Menegazzia minuta,P.James & Kantvilas,,Parmeliaceae,Lichen,e,,Flora,non-vascular
,Parmeliopsis ambigua,(Wulf.) Nyl.,,Parmeliaceae,Lichen,r,,Flora,non-vascular
t,Parmeliopsis hyperopta,(Ach.) Arnold,,Parmeliaceae,Lichen,r,,Flora,non-vascular
,Parmotrema crinitum,(Ach.) M.Choisy,,Parmeliaceae,Lichen,r,,Flora,non-vascular
,Pseudocephalozia paludicola,R.M.Schuster,liverwort,Lepidoziaceae,Liverwort,,VU,Flora,non-vascular
,Punctelia subflava,(Taylor) Elix & J.Johnst.,,Parmeliaceae,Lichen,x,,Flora,non-vascular
t,Roccellinastrum neglectum,Henssen & Vobis,,Roccellinastraceae,Lichen,e,,Flora,non-vascular
,Sirophysalis trinodis,(Forsskal) Kutzing,three-node seaweed,Sargassaceae,Algae,r,,Flora,non-vascular
,Teloschistes flavicans,(Sw.) Norm. ,golden-hair lichen,Teloschistaceae,Lichen,r,,Flora,non-vascular
,Xanthoparmelia amphixantha,(Müll.Arg.) Hale ,,Parmeliaceae,Lichen,e,,Flora,non-vascular
end,Xanthoparmelia graniticola,"(Elix & Kantvilas) O.Blanco, A.Crespo, Elix, D.Hawksw. & Lumbsch",,Parmeliaceae,Lichen,r,,Flora,non-vascular
end,Xanthoparmelia jarmaniae,Elix & Kantvilas,,Parmeliaceae,Lichen,v,,Flora,non-vascular
,Xanthoparmelia mannumensis,(Elix) Elix & J.Johnst. ,,Parmeliaceae,Lichen,v,,Flora,non-vascular
,Xanthoparmelia microphyllizans,Elix ,,Parmeliaceae,Lichen,r,,Flora,non-vascular
,Xanthoparmelia molliuscula,(Ach.) Hale,,Parmeliaceae,Lichen,e,,Flora,non-vascular
,Xanthoparmelia oleosa,(Elix & P.Armstr.) Elix & T.H.Nash ,,Parmeliaceae,Lichen,r,,Flora,non-vascular
,Xanthoparmelia subloxodella,"(Elix & Kantvilas) O.Blanco, A.Crespo, Elix, D.Hawksw. & Lumbsch",,Parmeliaceae,Lichen,e,,Flora,non-vascular
end,Xanthoparmelia vicaria,Elix & J.Johnst.,,Parmeliaceae,Lichen,r,,Flora,non-vascular
end,Xanthoparmelia vicariella,Elix & Kantvilas,,Parmeliaceae,Lichen,r,,Flora,non-vascular
,Xanthoparmelia willisii,(Kurok. & Filson) Elix & J.Johnst.,,Parmeliaceae,Lichen,e,,Flora,non-vascular
end,Allanaspides hickmani ,"Swain, Wilson & Ong",Hickman's Pigmy Mountain Shrimp,Syncarida,Invertebrates,r,,Fauna,invertebrate
end,Amelora acontistica ,Turner,Chevron Looper Moth,Lepidoptera,Invertebrates,v,,Fauna,invertebrate
end,Ammoniropa vigens,(Legrand),Ammonite Pinwheel Snail,Eupulmonata,Invertebrates,e,CR,Fauna,invertebrate
end,Antipodia chaostola leucophaea,Couchman,Tasmanian Chaostola Skipper,Lepidoptera,Invertebrates,e,EN,Fauna,invertebrate
end,Astacopsis gouldi ,Clark,Giant Freshwater Crayfish,Decapoda,Invertebrates,v,VU,Fauna,invertebrate
end,Attenborougharion rubicundus,(Dartnall and Kershaw),Burgundy Snail,Sigmurethra,Invertebrates,r,,Fauna,invertebrate
,Austrorhytida lamproides ,(Cox),Keeled Carnivorous Snail,Sigmurethra,Invertebrates,r,,Fauna,invertebrate
end,Beddomeia angulata ,Ponder & Clark,Rapid River Freshwater Snail,Mesogastropoda,Invertebrates,r,,Fauna,invertebrate
end,Beddomeia averni ,Ponder & Clark,Hydrobiid Snail (West Gawler),Mesogastropoda,Invertebrates,e,,Fauna,invertebrate
end,Beddomeia bellii ,Petterd,Bells Freshwater Snail,Mesogastropoda,Invertebrates,r,,Fauna,invertebrate
end,Beddomeia bowryensis ,Ponder & Clark,Hydrobiid Snail (Bowry Creek),Mesogastropoda,Invertebrates,r,,Fauna,invertebrate
end,Beddomeia briansmithi ,Ponder & Clark,Hydrobiid Snail (Fern Creek),Mesogastropoda,Invertebrates,v,,Fauna,invertebrate
end,Beddomeia camensis ,Ponder & Clark,Hydrobiid Snail (Cam River),Mesogastropoda,Invertebrates,e,,Fauna,invertebrate
end,Beddomeia capensis ,Ponder & Clark,Hydrobiid Snail (Table Cape),Mesogastropoda,Invertebrates,e,,Fauna,invertebrate
end,Beddomeia fallax ,Ponder & Clark,Hydrobiid Snail (Heathcote Creek),Mesogastropoda,Invertebrates,r,,Fauna,invertebrate
end,Beddomeia forthensis ,Ponder & Clark,Forth River Freshwater Snail,Mesogastropoda,Invertebrates,r,,Fauna,invertebrate
end,Beddomeia franklandensis ,Ponder & Clark,Hydrobiid Snail (Frankland River ),Mesogastropoda,Invertebrates,r,,Fauna,invertebrate
end,Beddomeia fromensis ,Ponder & Clark,Hydrobiid Snail (Frome River),Mesogastropoda,Invertebrates,e,,Fauna,invertebrate
end,Beddomeia fultoni ,Ponder & Clark,Hydrobiid Snail (Farnhams Creek),Mesogastropoda,Invertebrates,e,,Fauna,invertebrate
end,Beddomeia gibba ,Ponder & Clark,Hydrobiid Snail (Salmon River Road),Mesogastropoda,Invertebrates,r,,Fauna,invertebrate
end,Beddomeia hallae ,Ponder & Clark,Hydrobiid Snail (Buttons Rivulet),Mesogastropoda,Invertebrates,e,,Fauna,invertebrate
end,Beddomeia hermansi ,Ponder & Clark,Hydrobiid Snail (Viking Creek),Mesogastropoda,Invertebrates,e,,Fauna,invertebrate
end,Beddomeia hullii ,Petterd,Hulls Freshwater Snail,Mesogastropoda,Invertebrates,r,,Fauna,invertebrate
end,Beddomeia inflata ,Ponder & Clark,Upper Castra Freshwater Snail,Mesogastropoda,Invertebrates,r,,Fauna,invertebrate
end,Beddomeia kershawi ,Ponder & Clark,Hydrobiid Snail (Macquarie River),Mesogastropoda,Invertebrates,e,,Fauna,invertebrate
end,Beddomeia krybetes ,Ponder & Clark,Hydrobiid Snail (St. Pauls River),Mesogastropoda,Invertebrates,v,,Fauna,invertebrate
end,Beddomeia launcestonensis ,Johnston,Hydrobiid Snail (Cataract Gorge),Mesogastropoda,Invertebrates,e,,Fauna,invertebrate
end,Beddomeia lodderae ,Petterd,Castra Rivulet Freshwater Snail,Mesogastropoda,Invertebrates,v,,Fauna,invertebrate
end,Beddomeia mesibovi ,Ponder & Clark,Hydrobiid Snail (Arthur River),Mesogastropoda,Invertebrates,r,,Fauna,invertebrate
end,Beddomeia minima ,Petterd,Hydrobiid Snail (Scottsdale),Mesogastropoda,Invertebrates,r,,Fauna,invertebrate
end,Beddomeia petterdi ,Ponder & Clark,Blythe River Freshwater Snail,Mesogastropoda,Invertebrates,e,,Fauna,invertebrate
end,Beddomeia phasianella ,Ponder & Clark,Hydrobiid Snail (Keddies Creek),Mesogastropoda,Invertebrates,v,,Fauna,invertebrate
end,Beddomeia protuberata ,Ponder & Clark,Hydrobiid Snail (Emu River),Mesogastropoda,Invertebrates,r,,Fauna,invertebrate
end,Beddomeia ronaldi ,Ponder & Clark,Hydrobiid Snail (St. Patricks River),Mesogastropoda,Invertebrates,e,,Fauna,invertebrate
end,Beddomeia salmonis ,Ponder & Clark,Hydrobiid Snail (Salmon River),Mesogastropoda,Invertebrates,r,,Fauna,invertebrate
end,Beddomeia tasmanica ,Tenison-Woods,Hydrobiid Snail (Terrys Creek),Mesogastropoda,Invertebrates,r,,Fauna,invertebrate
end,Beddomeia topsiae ,Ponder & Clark,Hydrobiid Snail (Williamson Creek),Mesogastropoda,Invertebrates,r,,Fauna,invertebrate
end,Beddomeia trochiformis ,Ponder & Clark,Savage River Mine Freshwater Snail,Mesogastropoda,Invertebrates,r,,Fauna,invertebrate
end,Beddomeia tumida,Petterd,Hydrobiid Snail (Great Lake),Mesogastropoda,Invertebrates,e,,Fauna,invertebrate
end,Beddomeia turnerae ,Ponder & Clark,Hydrobiid Snail (Minnow River),Mesogastropoda,Invertebrates,r,,Fauna,invertebrate
end,Beddomeia waterhouseae ,Ponder & Clark,Claytons Rivulet Freshwater Snail,Mesogastropoda,Invertebrates,e,,Fauna,invertebrate
end,Beddomeia wilmotensis ,Ponder & Clark,Wilmot River Freshwater Snail,Mesogastropoda,Invertebrates,r,,Fauna,invertebrate
end,Beddomeia wiseae ,Ponder & Clark,Hydrobiid Snail (Blizzards Creek),Mesogastropoda,Invertebrates,v,,Fauna,invertebrate
end,Beddomeia zeehanensis ,Ponder & Clark,Zeehan Freshwater Snail,Mesogastropoda,Invertebrates,r,,Fauna,invertebrate
end,Benthodorbis pawpela ,Winston Ponder,Great Lake Glacidorbid Snail,Mesogastropoda,Invertebrates,r,,Fauna,invertebrate
end,Castiarina insculpta,(Carter),Miena Jewel Beetle,Coleoptera,Invertebrates,e,,Fauna,invertebrate
,Catadromus lacordairei ,Boisduval,Green-lined Ground Beetle,Coleoptera,Invertebrates,v,,Fauna,invertebrate
end,Cavernotettix craggiensis,Richards,Craggy Island Cave Cricket,Orthoptera,Invertebrates,r,,Fauna,invertebrate
end,"Charopidae ""Skemps""",,Skemps Snail,Sigmurethra,Invertebrates,r,,Fauna,invertebrate
,Chloritobadistes victoriae ,(Cox),Southern Hairy Red Snail,Eupulmonata,Invertebrates,v,,Fauna,invertebrate
,Chrysolarentia decisaria ,Walker,Tunbridge Looper Moth,Lepidoptera,Invertebrates,e,,Fauna,invertebrate
end,Costora iena ,Mosely,Caddis Fly (Great Lakes),Trichoptera,Invertebrates,x,,Fauna,invertebrate
end,Dasybela achroa ,Lower,Saltmarsh Looper Moth,Lepidoptera,Invertebrates,v,,Fauna,invertebrate
end,Dasyurotaenia robusta,Beddard,Tapeworm (Tasmanian Devil),Cyclophyllideae,Invertebrates,r,,Fauna,invertebrate
end,Echinodillo cavaticus ,Green,Flinders Island Cave Slater,Isopoda,Invertebrates,r,,Fauna,invertebrate
end,Ecnomina vega ,Neboiss,Caddis Fly (Macquarie River),Trichoptera,Invertebrates,r,,Fauna,invertebrate
end,Enchymus sp. nov. ,Zimmerman,Weldborough Forest Weevil,Coleoptera,Invertebrates,r,,Fauna,invertebrate
end,Engaeus granulatus ,Horwitz,Central North Burrowing Crayfish,Decapoda,Invertebrates,e,EN,Fauna,invertebrate
end,Engaeus martigener,Horwitz,Furneaux Burrowing Crayfish,Decapoda,Invertebrates,v,EN,Fauna,invertebrate
end,Engaeus orramakunna,Horwitz,Mt. Arthur Burrowing Crayfish,Decapoda,Invertebrates,v,VU,Fauna,invertebrate
end,Engaeus spinicaudatus ,Horwitz,Scottsdale Burrowing Crayfish,Decapoda,Invertebrates,e,EN,Fauna,invertebrate
end,Engaeus yabbimunna ,Horwitz,Burrowing Crayfish (Burnie) ,Decapoda,Invertebrates,v,VU,Fauna,invertebrate
end,Exquisitiropa agnewi,(Legrand),Silky Pinhead Snail,Sigmurethra,Invertebrates,r,,Fauna,invertebrate
,Gazameda gunnii,(Reeve),Gunn's Screw Shell,Mesogastropoda,Invertebrates,v,,Fauna,invertebrate
end,Goedetrechus mendumae ,Moore,Cave Beetle (Ida Bay),Coleoptera,Invertebrates,v,,Fauna,invertebrate
end,Goedetrechus parallelus,Moore,Cave Beetle (Junee-Florentine),Coleoptera,Invertebrates,v,,Fauna,invertebrate
end,Hadronyche pulvinator ,Hickman,Cascade Funnel-web Spider,Araneae,Invertebrates,x,,Fauna,invertebrate
,Haloniscus searlei ,Chilton,Salt Lake Slater,Isopoda,Invertebrates,e,,Fauna,invertebrate
end,Hickmanoxyomma cavaticum ,Hickman,Ida Bay Cave Harvestman,Opilionida,Invertebrates,r,,Fauna,invertebrate
end,Hickmanoxyomma gibbergunyar ,Hunt,Cave Harvestman,Opilionida,Invertebrates,r,,Fauna,invertebrate
end,Hoplogonus bornemisszai ,Bartoluzzi,Bornemisszas Stag Beetle,Coleoptera,Invertebrates,e,CR,Fauna,invertebrate
end,Hoplogonus simsoni ,Parry,Simsons Stag Beetle,Coleoptera,Invertebrates,v,VU,Fauna,invertebrate
end,Hoplogonus vanderschoori ,Bartoluzzi,Vanderschoors Stag Beetle,Coleoptera,Invertebrates,v,VU,Fauna,invertebrate
end,Hydrobiosella sagitta ,Neboiss,Caddis Fly (St. Columba Falls),Trichoptera,Invertebrates,r,,Fauna,invertebrate
end,Hydroptila scamandra ,Neboiss,Caddis Fly (Upper Scamander River),Trichoptera,Invertebrates,r,,Fauna,invertebrate
end,Hypolimnus pedderensis ,(Jamieson),Lake Pedder Earthworm,Haplotaxida,Invertebrates,x,EX,Fauna,invertebrate
end,Idacarabus cordicollis ,Moore,Cave Beetle (Hastings Cave),Coleoptera,Invertebrates,r,,Fauna,invertebrate
end,Idacarabus troglodytes ,Lea,Ida Bay Cave Beetle,Coleoptera,Invertebrates,r,,Fauna,invertebrate
end,Leucopatus anophthalmus ,"(Ruhberg, Mesibov, Briscoe & Tait)",Blind Velvet Worm,Onychophora,Invertebrates,e,,Fauna,invertebrate
end,Lissotes latidens ,Westwood,Broad-toothed Stag Beetle,Coleoptera,Invertebrates,e,EN,Fauna,invertebrate
end,Lissotes menalcas ,Westwood,Mount Mangana Stag Beetle,Coleoptera,Invertebrates,r,,Fauna,invertebrate
end,Mesacanthotelson setosus ,Nicholls,Isopod (Great Lake),Isopoda,Invertebrates,r,,Fauna,invertebrate
end,Mesacanthotelson tasmaniae ,Thomson,Isopod (Great Lake),Isopoda,Invertebrates,r,,Fauna,invertebrate
end,Micropathus kiernani ,Richards,Southern Sandstone Cave Cricket,Orthoptera,Invertebrates,e,CR,Fauna,invertebrate
end,Migas plomleyi ,Raven and Churchill,Spider (Cataract Gorge),Araneae,Invertebrates,e,,Fauna,invertebrate
end,Miselaoma weldii,(Tenison-Woods),Stanley Pinhead Snail,Sigmurethra,Invertebrates,e,,Fauna,invertebrate
end,Oecetis gilva ,Neboiss,Caddis Fly (South Esk River),Trichoptera,Invertebrates,r,,Fauna,invertebrate
end,Olgania excavata ,Hickman,Cave Spider (Bubs Hill Cave),Araneae,Invertebrates,r,,Fauna,invertebrate
end,Onchotelson brevicaudatus ,Smith,Isopod (Great Lake & Shannon Lagoon),Isopoda,Invertebrates,r,,Fauna,invertebrate
end,Onchotelson spatulatus ,Nicholls,Isopod (Great Lake),Isopoda,Invertebrates,e,,Fauna,invertebrate
end,Oreisplanus munionga larana ,Olliff ,Marrawah Skipper,Lepidoptera,Invertebrates,e,VU,Fauna,invertebrate
end,Oreixenica ptunarra ,Couchman,Ptunarra Brown Butterfly,Lepidoptera,Invertebrates,v,EN,Fauna,invertebrate
,Orphninotrichia maculata ,Mosley,Caddis Fly (Wedge River),Trichoptera,Invertebrates,r,,Fauna,invertebrate
,Orthotrichia adornata ,Wells,Caddis Fly (Derwent River),Trichoptera,Invertebrates,r,,Fauna,invertebrate
end,Oxyethira mienica ,Wells,Caddis Fly (Ouse River),Trichoptera,Invertebrates,r,,Fauna,invertebrate
end,Parvotettix rangaensis ,Richards,Cave Cricket,Orthoptera,Invertebrates,r,,Fauna,invertebrate
end,Parvotettix whinrayi ,Richards,Whinray's Cave Cricket,Orthoptera,Invertebrates,r,,Fauna,invertebrate
end,Parvulastra vivipara ,(Dartnall),Live-bearing Seastar,Asterinidae,Invertebrates,v,VU,Fauna,invertebrate
end,Pasmaditta jungermanniae ,Petterd,Cataract Gorge Pinhead Snail,Sigmurethra,Invertebrates,v,,Fauna,invertebrate
end,Patiriella littoralis,(Dartnell),Derwent River Seastar,Asterinidae,Invertebrates,e,CR,Fauna,invertebrate
end,Phrantela annamurrayae ,Ponder & Clark,Warratah Road Hydrobiid Snail,Mesogastropoda,Invertebrates,r,,Fauna,invertebrate
end,Phrantela conica ,Ponder & Clark,Little Henty River Hydrobiid Snail,Mesogastropoda,Invertebrates,r,,Fauna,invertebrate
end,Phrantela marginata ,Petterd,Heazlewood River Hydrobiid Snail,Mesogastropoda,Invertebrates,r,,Fauna,invertebrate
end,Phrantela pupiformis ,Ponder & Clark,Tyenna River Freshwater Snail,Mesogastropoda,Invertebrates,r,,Fauna,invertebrate
end,Plesiothele fentoni ,Hickman,Lake Fenton Trapdoor Spider,Araneae,Invertebrates,e,,Fauna,invertebrate
end,Pseudalmenus chlorinda myrsilus,Couchman,Tasmanian Hairstreak (butterfly),Lepidoptera,Invertebrates,r,,Fauna,invertebrate
end,Pseudotyrannochthonius typhlus ,Dartnall,Cave Pseudoscorpion (Mole Creek),Pseudoscorpionida,Invertebrates,r,,Fauna,invertebrate
end,Ramiheithrus kocinus ,Neboiss,Caddis Fly (Corinna),Trichoptera,Invertebrates,r,,Fauna,invertebrate
end,Schayera baiulus,Erichson,Schayer's Grasshopper,Orthoptera,Invertebrates,e,,Fauna,invertebrate
end,Smilasterias tasmaniae ,O'Loughlin and O'Hara,Bruny Island Seastar,Asterinidae,Invertebrates,e,,Fauna,invertebrate
end,Stenopsychodes lineata ,Neboiss,Caddis Fly (Bluff Hill Creek),Trichoptera,Invertebrates,r,,Fauna,invertebrate
end,Tasimia drepana ,Neboiss,Caddis Fly (Huon & Picton Rivers),Trichoptera,Invertebrates,r,,Fauna,invertebrate
end,Taskiria mccubbini ,Neboiss,Caddis Fly (Lake Pedder),Trichoptera,Invertebrates,e,,Fauna,invertebrate
end,Taskiropsyche lacustris ,Neboiss,Caddis Fly (Lake Pedder),Trichoptera,Invertebrates,e,,Fauna,invertebrate
end,Tasmanipatus barretti ,Ruhberg,Giant Velvet Worm,Onychophora,Invertebrates,r,,Fauna,invertebrate
end,Tasmanotrechus cockerilli ,Moore,Cave Beetle (Mole Creek),Coleoptera,Invertebrates,r,,Fauna,invertebrate
end,Tasniphargus tyleri ,Williams & Barnard,Amphipod (Great Lake),Amphipoda,Invertebrates,r,,Fauna,invertebrate
end,Theclinesthes serpentata lavara,(Herrich-Schäffer),Chequered blue,Lepidoptera,Invertebrates,r,,Fauna,invertebrate
end,Uramphisopus pearsoni ,Nicholls,Isopod (Great Lake),Isopoda,Invertebrates,r,,Fauna,invertebrate
end,Acanthiza pusilla archibaldi,Mathews,King Island Brown Thornbill,Birds,Vertebrates,e,EN,Fauna,vertebrate
end,Acanthornis magna greeniana,Schodde & Mason,King Island Scrubtit,Birds,Vertebrates,e,CR,Fauna,vertebrate
,Accipiter novaehollandiae ,Gmelin,Grey Goshawk,Birds,Vertebrates,e,,Fauna,vertebrate
end,Antechinus vandycki,"Baker, Mutton, Mason & Gray",Tasman Peninsula Dusky Antechinus,Mammals,Vertebrates,v,,Fauna,vertebrate
end,Aquila audax fleayi ,Latham,Wedge-tailed Eagle,Birds,Vertebrates,e,EN,Fauna,vertebrate
,Arctocephalus forsteri ,Lesson,New Zealand Fur Seal,Mammals,Vertebrates,r,,Fauna,vertebrate
,Arctocephalus tropicalis,Gray,Subantarctic Fur Seal,Mammals,Vertebrates,e,EN,Fauna,vertebrate
mig,Balaenoptera borealis,Lesson,Sei Whale,Mammals,Vertebrates,,VU,Fauna,vertebrate
mig,Balaenoptera musculus,Linnaeus,Blue Whale,Mammals,Vertebrates,e,EN,Fauna,vertebrate
mig,Balaenoptera physalus,Linnaeus,Fin Whale,Mammals,Vertebrates,v,VU,Fauna,vertebrate
,Botaurus poiciloptilus,(Wagler) ,Australasian Bittern,Birds,Vertebrates,,EN,Fauna,vertebrate
end,Brachionichthys hirsutus,Lacepede,Spotted Handfish,Fish,Vertebrates,e,CR,Fauna,vertebrate
end,Brachiopsilus ziebelli,Last & Gledhill,Ziebell's Handfish,Fish,Vertebrates,e,VU,Fauna,vertebrate
,Calidris canutus,(Linnaeus),Red Knot,Birds,Vertebrates,,EN,Fauna,vertebrate
,Calidris ferruginea,(Pontoppidan),Curlew Sandpiper,Birds,Vertebrates,,CR,Fauna,vertebrate
,Calidris tenuirostris,(Horsfield),Great Knot,Birds,Vertebrates,,CR,Fauna,vertebrate
,Carcharodon carcharias,Linnaeus,Great White Shark,Fish,Vertebrates,v,VU,Fauna,vertebrate
,Caretta caretta ,Linnaeus,Loggerhead Turtle,Reptiles,Vertebrates,e,EN,Fauna,vertebrate
end,Carinascincus palfreymani,(Rawlinson),Pedra Branca Skink,Reptiles,Vertebrates,e,VU,Fauna,vertebrate
,Centrophorus harrissoni,McCulloch,Harrisson's Deepsea Dogfish,Fish,Vertebrates,,CD,Fauna,vertebrate
,Centrophorus zeehaani,"White, Ebert & Compagno",Southern Dogfish,Fish,Vertebrates,,CD,Fauna,vertebrate
,Ceyx azureus diemenensis,(Gould),Tasmanian Azure Kingfisher,Birds,Vertebrates,e,EN,Fauna,vertebrate
,Charadrius leschenaultii,Lesson,Greater Sand Plover,Birds,Vertebrates,,VU,Fauna,vertebrate
,Charadrius mongolus,Pallas,Lesser Sand Plover,Birds,Vertebrates,,EN,Fauna,vertebrate
,Chelonia mydas ,Linnaeus,Green Turtle,Reptiles,Vertebrates,v,VU,Fauna,vertebrate
,Cyanoramphus novaezelandiae erythrotis ,Wagler,Macquarie Island Parakeet,Birds,Vertebrates,x,EX,Fauna,vertebrate
,Dasyurus maculatus maculatus,(Kerr),Spotted-tail Quoll,Mammals,Vertebrates,r,VU,Fauna,vertebrate
,Dasyurus viverrinus,(Shaw),Eastern Quoll,Mammals,Vertebrates,,EN,Fauna,vertebrate
,Dermochelys coriacea,Linnaeus,Leathery Turtle,Reptiles,Vertebrates,v,VU,Fauna,vertebrate
,Diomedea amsterdamensis,"Roux, Jouventin, Mougin, Stahl & Weimerskirch",Amsterdam Albatross,Birds,Vertebrates,*,EN,Fauna,vertebrate
,Diomedea antipodensis,Robertson & Warham,Antipodean Albatross,Birds,Vertebrates,*,VU,Fauna,vertebrate
,Diomedea antipodensis gibsoni,Robertson & Warham,Gibson's Albatross,Birds,Vertebrates,*,VU,Fauna,vertebrate
,Diomedea epomophora (sensu stricto),Lesson,Southern Royal Albatross,Birds,Vertebrates,,VU,Fauna,vertebrate
,Diomedea exulans,Linnaeus,Wandering Albatross,Birds,Vertebrates,e,VU (sensu lato),Fauna,vertebrate
,Diomedea dabbenena,Matthews,Tristan Albatross,Birds,Vertebrates,*,EN,Fauna,vertebrate
,Diomedea sanfordi,Murphy,Northern Royal Albatross,Birds,Vertebrates,,EN,Fauna,vertebrate
,Dromaius ater,Vieillot,King Island Emu,Birds,Vertebrates,x,EX,Fauna,vertebrate
,Dromaius novaehollandiae diemenensis,Le Souef,Tasmanian Emu,Birds,Vertebrates,x,EX,Fauna,vertebrate
,Eretmochelys imbricata ,Linnaeus,Hawksbill Turtle,Reptiles,Vertebrates,v,VU,Fauna,vertebrate
mig,Eubalaena australis,Desmoulins,Southern Right Whale,Mammals,Vertebrates,e,EN,Fauna,vertebrate
end,Galaxias auratus ,Johnston,Golden Galaxias,Fish,Vertebrates,r,EN,Fauna,vertebrate
end,Galaxias fontanus ,Fulton,Swan Galaxias,Fish,Vertebrates,e,EN,Fauna,vertebrate
end,Galaxias johnstoni ,Scott,Clarence Galaxias,Fish,Vertebrates,e,EN,Fauna,vertebrate
end,Galaxias parvus ,Frankenburg,Swamp Galaxias,Fish,Vertebrates,v,VU,Fauna,vertebrate
end,Galaxias pedderensis,Frankenberg,Pedder Galaxias,Fish,Vertebrates,e,EW,Fauna,vertebrate
end,Galaxias tanycephalus ,Fulton,Saddled Galaxias,Fish,Vertebrates,v,VU,Fauna,vertebrate
,Galaxiella pusilla ,Mack,Dwarf Galaxias,Fish,Vertebrates,v,VU,Fauna,vertebrate
,Galeorhinus galeus,,School Shark,Fish,Vertebrates,,CD,Fauna,vertebrate
eMI,Gallirallus philippensis macquariensis,Hutton,Macquarie Island Rail,Birds,Vertebrates,x,EX,Fauna,vertebrate
,Haliaeetus leucogaster,(Gmelin),White-bellied Sea-Eagle,Birds,Vertebrates,v,,Fauna,vertebrate
,Halobaena caerulea,Gmelin,Blue Petrel,Birds,Vertebrates,v,VU,Fauna,vertebrate
,Hirundapus caudacutus,Latham,White-throated Needletail,Birds,Vertebrates,,VU,Fauna,vertebrate
,Hoplostethus atlanticus,Collett,"Orange Roughy, Deep-sea Perch, Red Roughy",Fish,Vertebrates,,CD,Fauna,vertebrate
br end,Lathamus discolor,Shaw ,Swift Parrot,Birds,Vertebrates,e,CR,Fauna,vertebrate
,Leucocarbo atriceps purpurascens,Brant,Macquarie Island Shag,Birds,Vertebrates,v,VU,Fauna,vertebrate
,Limnodynastes peroni,Dumeril & Bibron,Striped Marsh Frog,Amphibians,Vertebrates,e,,Fauna,vertebrate
,Limosa lapponica baueri,Naumann,Western Alaskan Bar-tailed Godwit,Birds,Vertebrates,,VU,Fauna,vertebrate
,Limosa lapponica menzbieri,Portenko,Northern Siberian Bar-tailed Godwit,Birds,Vertebrates,,CR,Fauna,vertebrate
,Litoria raniformis ,Keferstein,Green and Gold Frog,Amphibians,Vertebrates,v,VU,Fauna,vertebrate
,Macronectes giganteus,Gmelin,Southern Giant Petrel,Birds,Vertebrates,v,EN,Fauna,vertebrate
,Macronectes halli,Mathews,Northern Giant Petrel,Birds,Vertebrates,r,VU,Fauna,vertebrate
mig,Megaptera novaeangliae,Borowski,Humpback Whale,Mammals,Vertebrates,e,VU,Fauna,vertebrate
,Mirounga leonina,Gray,Southern Elephant Seal,Mammals,Vertebrates,e,VU,Fauna,vertebrate
br end,Neophema chrysogaster,Latham,Orange-bellied Parrot,Birds,Vertebrates,e,CR,Fauna,vertebrate
,Numenius madagascariensis,Linnaeus,Eastern Curlew,Birds,Vertebrates,e,CR,Fauna,vertebrate
,Oceanites oceanicus ,Kuhl,Wilson's Storm Petrel,Birds,Vertebrates,r,,Fauna,vertebrate
,Pachyptila turtur subantarctica ,Kuhl,Southern Fairy Prion,Birds,Vertebrates,e,VU,Fauna,vertebrate
end,Paragalaxias dissimilis,Regan,Shannon Paragalaxias,Fish,Vertebrates,v,VU,Fauna,vertebrate
end,Paragalaxias eleotroides ,McDowall and Fulton,Great Lake Paragalaxias,Fish,Vertebrates,v,VU,Fauna,vertebrate
end,Paragalaxias julianus ,McDowall and Fulton,Western Paragalaxias,Fish,Vertebrates,r,,Fauna,vertebrate
end,Paragalaxias mesotes ,McDowall and Fulton,Arthurs Paragalaxias,Fish,Vertebrates,e,EN,Fauna,vertebrate
end,Pardalotus quadragintus ,Gould,Forty-spotted Pardalote,Birds,Vertebrates,e,EN,Fauna,vertebrate
