Origin,Species,Authority,Common Name,Family,Group,sch,EPBCA,Flora/Fauna,Classification
end,Conospermum hookeri,(Meisn.) E.M.Benn.,tasmanian smokebush,Proteaceae,Dicotyledonae,v,VU,Flora,vascular
,Coopernookia barbata,(R.Br.) Carolin,purple native-primrose,Goodeniaceae,Dicotyledonae,x,,Flora,vascular
end,Corunastylis brachystachya,(Lindl.) D.L.Jones & M.A.Clem.,shortspike midge-orchid,Orchidaceae,Monocotyledonae,e,EN,Flora,vascular
end,Corunastylis firthii,(L.Cady) D.L.Jones & M.A.Clem.,firths midge-orchid,Orchidaceae,Monocotyledonae,e,CR,Flora,vascular
,Corunastylis morrisii,(Nicholls) D.L.Jones & M.A.Clem.,bearded midge-orchid,Orchidaceae,Monocotyledonae,e,,Flora,vascular
,Corunastylis nuda,(Hook.f.) D.L.Jones & M.A.Clem.,tiny midge-orchid,Orchidaceae,Monocotyledonae,r,,Flora,vascular
end,Corunastylis nudiscapa,(Hook.f.) D.L.Jones & M.A.Clem.,bare midge-orchid,Orchidaceae,Monocotyledonae,e,,Flora,vascular
eMI,Corybas dienemus,D.L.Jones,windswept helmet-orchid,Orchidaceae,Monocotyledonae,v,CR,Flora,vascular
,Corybas fordhamii,(Rupp) Rupp,swamp pelican-orchid,Orchidaceae,Monocotyledonae,e,,Flora,vascular
eMI,Corybas sulcatus,(M.A.Clem. & D.L.Jones) G.N.Backh.,grooved helmet-orchid,Orchidaceae,Monocotyledonae,e,CR,Flora,vascular
,Cotula vulgaris var. australasica,J.H.Willis,slender buttons,Asteraceae,Dicotyledonae,r,,Flora,vascular
end,Craspedia preminghana,Rozefelds,preminghana billybuttons,Asteraceae,Dicotyledonae,e,EN,Flora,vascular
t,Crassula moschata,G.Forst.,musky stonecrop,Crassulaceae,Dicotyledonae,r,,Flora,vascular
,Cryptandra amara,Sm.,pretty pearlflower,Rhamnaceae,Dicotyledonae,e,,Flora,vascular
,Cryptostylis leptochila,F.Muell. ex Benth.,small tongue-orchid,Orchidaceae,Monocotyledonae,e,,Flora,vascular
,Cullen microcephalum,(Rchb. ex Kunze) J.W.Grimes,dusky scurfpea ,Fabaceae,Dicotyledonae,r,,Flora,vascular
,Cuscuta tasmanica,Engelm.,golden dodder,Convolvulaceae,Dicotyledonae,r,,Flora,vascular
,Cyathea cunninghamii,Hook.f.,slender treefern,Cyatheaceae,Pteridophyta,e,,Flora,vascular
,Cyathea x marcescens,N.A.Wakef.,skirted treefern,Cyatheaceae,Pteridophyta,e,,Flora,vascular
end,Cyathodes platystoma,C.M.Weiller,tall cheeseberry,Ericaceae,Dicotyledonae,r,,Flora,vascular
end,Cyphanthera tasmanica,Miers,tasmanian rayflower,Solanaceae,Dicotyledonae,r,,Flora,vascular
,Cyrtostylis robusta,D.L.Jones & M.A.Clem.,large gnat-orchid,Orchidaceae,Monocotyledonae,r,,Flora,vascular
,Damasonium minus,(R.Br.) Buchenau,starfruit,Alismataceae,Monocotyledonae,r,,Flora,vascular
t,Deschampsia gracillima,Kirk,slender hairgrass,Poaceae,Monocotyledonae,r,,Flora,vascular
,Desmodium gunnii,Benth. ex Hook.f.,southern ticktrefoil,Fabaceae,Dicotyledonae,v,,Flora,vascular
,Desmodium varians,(Labill.) G.Don,slender ticktrefoil,Fabaceae,Dicotyledonae,e,,Flora,vascular
end,Deyeuxia apsleyensis,D.I.Morris,apsley bentgrass,Poaceae,Monocotyledonae,r,,Flora,vascular
,Deyeuxia brachyathera,(Stapf) Vickery,short bentgrass,Poaceae,Monocotyledonae,r,,Flora,vascular
,Deyeuxia decipiens,(R.Br.) Vickery,trickery bentgrass,Poaceae,Monocotyledonae,r,,Flora,vascular
end,Deyeuxia lawrencei,Vickery,lawrences bentgrass,Poaceae,Monocotyledonae,x,EX,Flora,vascular
,Deyeuxia minor,F.Muell. ex Benth.,small bentgrass,Poaceae,Monocotyledonae,r,,Flora,vascular
,Dianella amoena,G.W.Carr & P.F.Horsfall,grassland flaxlily,Hemerocallidaceae,Monocotyledonae,r,EN,Flora,vascular
,Discaria pubescens,(Brongn.) Druce,spiky anchorplant,Rhamnaceae,Dicotyledonae,e,,Flora,vascular
end,Diuris lanceolata,Lindl.,large golden moths,Orchidaceae,Monocotyledonae,e,EN,Flora,vascular
,Diuris palustris,Lindl.,swamp doubletail,Orchidaceae,Monocotyledonae,e,,Flora,vascular
,Drosera glanduligera,Lehm.,scarlet sundew,Droseraceae,Dicotyledonae,r,,Flora,vascular
,Dryopoa dives,(F.Muell.) Vickery,tasmanian giant mountaingrass,Poaceae,Monocotyledonae,r,,Flora,vascular
,Elaeocarpus reticulatus,Sm.,blueberry ash,Elaeocarpaceae,Dicotyledonae,r,,Flora,vascular
end,Epacris apsleyensis,Crowden,apsley heath,Ericaceae,Dicotyledonae,e,EN,Flora,vascular
end,Epacris barbata,Melville,bearded heath,Ericaceae,Dicotyledonae,e,EN,Flora,vascular
end,Epacris curtisiae,Jarman,northwest heath,Ericaceae,Dicotyledonae,r,,Flora,vascular
end,Epacris exserta,R.Br.,south esk heath,Ericaceae,Dicotyledonae,e,EN,Flora,vascular
end,Epacris glabella,Jarman,smooth heath,Ericaceae,Dicotyledonae,e,EN,Flora,vascular
end,Epacris grandis,Crowden,tall heath,Ericaceae,Dicotyledonae,e,EN,Flora,vascular
end,Epacris graniticola,Crowden,granite heath,Ericaceae,Dicotyledonae,v,CR,Flora,vascular
end,Epacris limbata,K.J.Williams & F.Duncan,bordered heath,Ericaceae,Dicotyledonae,e,CR,Flora,vascular
end,Epacris moscaliana,Crowden,seepage heath,Ericaceae,Dicotyledonae,r,,Flora,vascular
end,Epacris stuartii,Stapf,southport heath,Ericaceae,Dicotyledonae,e,CR,Flora,vascular
end,Epacris virgata,Hook.f.,pretty heath,Ericaceae,Dicotyledonae,v,EN (Beaconsfield only),Flora,vascular
,Epilobium willisii,P.H.Raven & Engelhorn,carpet willowherb,Onagraceae,Dicotyledonae,r,,Flora,vascular
,Eryngium ovinum,A.Cunn.,blue devil,Apiaceae,Dicotyledonae,v,,Flora,vascular
