id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,sourceOrigin,scientificNameAuthorship,sourceStatus,epbcStatus,status
4241910,Lythrum salicaria,Purple Loosestrife,Lythrum salicaria,https://id.biodiversity.org.au/node/apni/2902033,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'L.'}, {'key': 'sourceStatus', 'value': 'v'}, {'key': 'status', 'value': 'Vulnerable'}]",,L.,v,,Vulnerable
4241644,Melaleuca pustulata,Warty Paperbark,Melaleuca pustulata,https://id.biodiversity.org.au/node/apni/2908027,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': 'Hook.f.'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",end,Hook.f.,r,,Rare
4241481,Mentha australis,River Mint,Mentha australis,https://id.biodiversity.org.au/node/apni/2903799,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'R.Br.'}, {'key': 'sourceStatus', 'value': 'e'}, {'key': 'status', 'value': 'Endangered'}]",,R.Br.,e,,Endangered
4241548,Micrantheum serpentinum,Western Tridentbush,Micrantheum serpentinum,https://id.biodiversity.org.au/node/apni/2906580,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': 'Orchard'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",end,Orchard,r,,Rare
4241557,Microtidium atratum,Yellow Onion-orchid,Microtis atrata,https://id.biodiversity.org.au/taxon/apni/51406612,dr654,"[{'key': 'scientificNameAuthorship', 'value': '(Lindl.) D.L.Jones & M.A.Clem.'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",,(Lindl.) D.L.Jones & M.A.Clem.,r,,Rare
4241759,Milligania johnstonii,Shortleaf Milligania,Milligania johnstonii,https://id.biodiversity.org.au/node/apni/2920091,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': 'F.Muell. ex Benth.'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",end,F.Muell. ex Benth.,r,,Rare
4241568,Milligania longifolia,Longleaf Milligania,Milligania longifolia,https://id.biodiversity.org.au/node/apni/2908987,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': 'Hook.f.'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",end,Hook.f.,r,,Rare
4242055,Millotia muelleri,Common Bow-flower,Millotia muelleri,https://id.biodiversity.org.au/node/apni/2907008,dr654,"[{'key': 'scientificNameAuthorship', 'value': '(Sond.) P.S.Short'}, {'key': 'sourceStatus', 'value': 'e'}, {'key': 'status', 'value': 'Endangered'}]",,(Sond.) P.S.Short,e,,Endangered
4242130,Mirbelia oxylobioides,Mountain Mirbelia,Mirbelia oxylobioides,https://id.biodiversity.org.au/node/apni/2915142,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'F.Muell.'}, {'key': 'sourceStatus', 'value': 'v'}, {'key': 'status', 'value': 'Vulnerable'}]",,F.Muell.,v,,Vulnerable
4241825,Monotoca submutica var. autumnalis,,Monotoca submutica var. autumnalis,https://id.biodiversity.org.au/node/apni/2916886,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': 'Jarman'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",end,Jarman,r,,Rare
4241914,Muehlenbeckia axillaris,Matted Lignum,Muehlenbeckia axillaris,https://id.biodiversity.org.au/node/apni/2902632,dr654,"[{'key': 'scientificNameAuthorship', 'value': '(Hook.f.) Endl.'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",,(Hook.f.) Endl.,r,,Rare
4241813,Myoporum parvifolium,Creeping Boobialla,Myoporum parvifolium,https://id.biodiversity.org.au/node/apni/2895572,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'R.Br.'}, {'key': 'sourceStatus', 'value': 'v'}, {'key': 'status', 'value': 'Vulnerable'}]",,R.Br.,v,,Vulnerable
4241695,Myosurus australis,Southern Mousetail,Myosurus australis,https://id.biodiversity.org.au/node/apni/2917549,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'F.Muell.'}, {'key': 'sourceStatus', 'value': 'e'}, {'key': 'status', 'value': 'Endangered'}]",,F.Muell.,e,,Endangered
4241623,Myriophyllum glomeratum,Clustered Milfoil,Myriophyllum glomeratum,https://id.biodiversity.org.au/node/apni/2895682,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'Schindl.'}, {'key': 'sourceStatus', 'value': 'x'}, {'key': 'status', 'value': 'Presumed Extinct'}]",,Schindl.,x,,Presumed Extinct
4241872,Myriophyllum integrifolium,Tiny Water-milfoil,Myriophyllum integrifolium,https://id.biodiversity.org.au/node/apni/8452109,dr654,"[{'key': 'scientificNameAuthorship', 'value': '(Hook.f.) Hook.f.'}, {'key': 'sourceStatus', 'value': 'v'}, {'key': 'status', 'value': 'Vulnerable'}]",,(Hook.f.) Hook.f.,v,,Vulnerable
4241676,Myriophyllum muelleri,Hooded Watermilfoil,Myriophyllum muelleri,https://id.biodiversity.org.au/node/apni/2914998,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'Sond.'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",,Sond.,r,,Rare
4241727,Odixia achlaena,Golden Everlastingbush,Odixia achlaena,https://id.biodiversity.org.au/node/apni/2903490,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': '(D.I.Morris) Orchard'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",end,(D.I.Morris) Orchard,r,,Rare
4242104,Olearia hookeri,Crimsontip Daisybush,Olearia hookeri,https://id.biodiversity.org.au/node/apni/2888075,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': '(Sond.) Benth.'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",end,(Sond.) Benth.,r,,Rare
4241862,Orites milliganii,Toothed Orites,Orites milliganii,https://id.biodiversity.org.au/node/apni/2915731,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': 'Meisn.'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",end,Meisn.,r,,Rare
4242006,Orthoceras strictum,Horned Orchid,Orthoceras strictum,https://id.biodiversity.org.au/taxon/apni/51406779,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'R.Br.'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",,R.Br.,r,,Rare
