taxonId,kingdom,class,family,scientificName,vernacularName,scientificNameAuthorship,sourceStatus,significant,confidential,endemicity,status,endemicity1,epbcStatus
603,Animalia,Amphibia,Hylidae,Litoria nannotis,waterfall frog,"(Andersson, 1916)",E,Y,N,Q,Endangered,Queensland endemic,
606,Animalia,Amphibia,Hylidae,Litoria nyakalensis,mountain mistfrog,"Liem, 1974",CR,Y,N,Q,Critically Endangered,Queensland endemic,Critically endangered
593,Animalia,Amphibia,Hylidae,Litoria olongburensis,wallum sedgefrog,"Liem & Ingram, 1977",V,Y,N,QA,Vulnerable,Australian endemic,Vulnerable
595,Animalia,Amphibia,Hylidae,Litoria pearsoniana,cascade treefrog,"(Copland, 1961)",V,Y,N,QA,Vulnerable,Australian endemic,
598,Animalia,Amphibia,Hylidae,Litoria rheocola,common mistfrog,"Liem, 1974",E,Y,N,Q,Endangered,Queensland endemic,
610,Animalia,Amphibia,Hylidae,Litoria serrata,tapping green eyed frog,"(Andersson, 1916)",V,Y,N,Q,Vulnerable,Queensland endemic,
18440,Animalia,Amphibia,Hylidae,Litoria sp. cf. cooloolensis (North Stradbroke Is population),,,NT,Y,N,Q,Near Threatened,Queensland endemic,
587,Animalia,Amphibia,Hylidae,Litoria subglandulosa,New England treefrog,"Tyler & Anstis, 1975",V,Y,Y,QA,Vulnerable,Australian endemic,
29400,Animalia,Amphibia,Microhylidae,Cophixalus aenigma,tapping nurseryfrog,"Hoskin, 2004",E,Y,N,Q,Endangered,Queensland endemic,Endangered
29399,Animalia,Amphibia,Microhylidae,Cophixalus concinnus,beautiful nurseryfrog,"Tyler, 1979",CR,Y,Y,Q,Critically Endangered,Queensland endemic,Critically endangered
720,Animalia,Amphibia,Microhylidae,Cophixalus crepitans,northern nurseryfrog,"Zweifel, 1985",V,Y,N,Q,Vulnerable,Queensland endemic,
721,Animalia,Amphibia,Microhylidae,Cophixalus exiguus,dainty nurseryfrog,"Zweifel & Parker, 1969",V,Y,N,Q,Vulnerable,Queensland endemic,
707,Animalia,Amphibia,Microhylidae,Cophixalus hosmeri,rattling nurseryfrog,"Zweifel, 1985",CR,Y,N,Q,Critically Endangered,Queensland endemic,Critically endangered
709,Animalia,Amphibia,Microhylidae,Cophixalus mcdonaldi,Mount Elliot nurseryfrog,"Zweifel, 1985",CR,Y,Y,Q,Critically Endangered,Queensland endemic,Critically endangered
710,Animalia,Amphibia,Microhylidae,Cophixalus monticola,mountain nurseryfrog,"Richards, Dennis, Trenerry & Werren, 1994",CR,Y,Y,Q,Critically Endangered,Queensland endemic,Critically endangered
711,Animalia,Amphibia,Microhylidae,Cophixalus neglectus,Bellenden Ker nurseryfrog,"Zweifel, 1962",CR,Y,Y,Q,Critically Endangered,Queensland endemic,Critically endangered
713,Animalia,Amphibia,Microhylidae,Cophixalus peninsularis,Cape York nurseryfrog,"Zweifel, 1985",V,Y,N,Q,Vulnerable,Queensland endemic,
699,Animalia,Amphibia,Microhylidae,Cophixalus saxatilis,Black Mountain boulderfrog,"Zweifel & Parker, 1977",V,Y,N,Q,Vulnerable,Queensland endemic,
19463,Animalia,Amphibia,Microhylidae,Cophixalus zweifeli,Cape Melville boulderfrog,"Davies & McDonald, 1998",V,Y,Y,Q,Vulnerable,Queensland endemic,
1100,Animalia,Aves,Casuariidae,Casuarius casuarius johnsonii (northern population),southern cassowary (northern population),"Mueller, 1866",V,Y,N,Q,Vulnerable,Queensland endemic,Endangered
1087,Animalia,Aves,Casuariidae,Casuarius casuarius johnsonii (southern population),southern cassowary (southern population),"Mueller, 1866",E,Y,N,Q,Endangered,Queensland endemic,Endangered
1995,Animalia,Aves,Anatidae,Spatula querquedula,garganey,"Linnaeus, 1758",SL,Y,N,VI,Special least concern,International vagrant,
1286,Animalia,Aves,Phaethontidae,Phaethon lepturus,white-tailed tropicbird,"Daudin, 1802",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1273,Animalia,Aves,Phaethontidae,Phaethon rubricauda,red-tailed tropicbird,"Boddaert, 1783",V,Y,N,QAI,Vulnerable,Naturally occurs in Australia and overseas,
1785,Animalia,Aves,Columbidae,Geophaps scripta scripta,squatter pigeon (southern subspecies),"Temminck, 1821",V,Y,N,QA,Vulnerable,Australian endemic,Vulnerable
1952,Animalia,Aves,Podargidae,Podargus ocellatus plumiferus,plumed frogmouth,"Gould, 1846",V,Y,N,QA,Vulnerable,Australian endemic,
1965,Animalia,Aves,Apodidae,Apus pacificus,fork-tailed swift,"(Latham, 1802)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1971,Animalia,Aves,Apodidae,Hirundapus caudacutus,white-throated needletail,"(Latham, 1801)",V,Y,N,QAI,Vulnerable,Naturally occurs in Australia and overseas,Vulnerable
1236,Animalia,Aves,Oceanitidae,Oceanites oceanicus,Wilson's storm-petrel,"(Kuhl, 1820)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
27767,Animalia,Aves,Diomedeidae,Diomedea antipodensis antipodensis,Antipodean albatross,"Robertson & Warham, 1992",V,Y,N,QAI,Vulnerable,Naturally occurs in Australia and overseas,Vulnerable
27768,Animalia,Aves,Diomedeidae,Diomedea antipodensis gibsoni,Gibson's albatross,"Robertson & Warham, 1992",V,Y,N,QAI,Vulnerable,Naturally occurs in Australia and overseas,Vulnerable
1254,Animalia,Aves,Diomedeidae,Diomedea epomophora,southern royal albatross,"Lesson, 1825",SL,Y,N,VI,Special least concern,International vagrant,Vulnerable
1255,Animalia,Aves,Diomedeidae,Diomedea exulans,wandering albatross,"Linnaeus, 1758",V,Y,N,QAI,Vulnerable,Naturally occurs in Australia and overseas,Vulnerable
1258,Animalia,Aves,Diomedeidae,Phoebetria fusca,sooty albatross,"(Hilsenberg, 1822)",V,Y,N,VU,Vulnerable,Vagrant - origin not defined,Vulnerable
1259,Animalia,Aves,Diomedeidae,Phoebetria palpebrata,light-mantled sooty albatross,"(Forster, 1785)",SL,Y,N,VU,Special least concern,Vagrant - origin not defined,
18836,Animalia,Aves,Diomedeidae,Thalassarche bulleri,Buller's albatross,"Rothschild, 1893",V,Y,N,VU,Vulnerable,Vagrant - origin not defined,Vulnerable
1252,Animalia,Aves,Diomedeidae,Thalassarche carteri,Indian yellow-nosed albatross,"Gmelin, 1789",V,Y,N,QAI,Vulnerable,Naturally occurs in Australia and overseas,Vulnerable
1251,Animalia,Aves,Diomedeidae,Thalassarche cauta,shy albatross,"Gould, 1841",E,Y,N,QAI,Endangered,Naturally occurs in Australia and overseas,Vulnerable
1253,Animalia,Aves,Diomedeidae,Thalassarche chrysostoma,grey-headed albatross,"Forster, 1785",E,Y,N,VU,Endangered,Vagrant - origin not defined,Endangered
33169,Animalia,Aves,Diomedeidae,Thalassarche impavida,Campbell albatross,"Mathews, 1912",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,Vulnerable
1256,Animalia,Aves,Diomedeidae,Thalassarche melanophris,black-browed albatross,"Temminck, 1828",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,Vulnerable
34156,Animalia,Aves,Diomedeidae,Thalassarche salvini,Salvin's albatross,"(Rothschild, 1893)",SL,Y,N,VI,Special least concern,International vagrant,Vulnerable
27766,Animalia,Aves,Diomedeidae,Thalassarche steadi,white-capped albatross,"Falla, 1933",V,Y,N,QAI,Vulnerable,Naturally occurs in Australia and overseas,Vulnerable
1198,Animalia,Aves,Procellariidae,Ardenna carneipes,flesh-footed shearwater,"Gould, 1844",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1200,Animalia,Aves,Procellariidae,Ardenna grisea,sooty shearwater,"(Gmelin, 1789)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1188,Animalia,Aves,Procellariidae,Ardenna pacifica,wedge-tailed shearwater,"(Gmelin, 1789)",V,Y,N,QAI,Vulnerable,Naturally occurs in Australia and overseas,
1190,Animalia,Aves,Procellariidae,Ardenna tenuirostris,short-tailed shearwater,"(Temminck, 1835)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1240,Animalia,Aves,Procellariidae,Bulweria bulwerii,Bulwer's petrel,"(Jardine & Selby, 1828)",SL,Y,N,VU,Special least concern,Vagrant - origin not defined,
1242,Animalia,Aves,Procellariidae,Calonectris leucomelas,streaked shearwater,"(Temminck, 1835)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1233,Animalia,Aves,Procellariidae,Halobaena caerulea,blue petrel,"(Gmelin, 1789)",V,Y,N,VU,Vulnerable,Vagrant - origin not defined,Vulnerable
1222,Animalia,Aves,Procellariidae,Macronectes giganteus,southern giant-petrel,"(Gmelin, 1789)",E,Y,N,QAI,Endangered,Naturally occurs in Australia and overseas,Endangered
1223,Animalia,Aves,Procellariidae,Macronectes halli,northern giant-petrel,"Mathews, 1912",V,Y,N,VU,Vulnerable,Vagrant - origin not defined,Vulnerable
1218,Animalia,Aves,Procellariidae,Procellaria aequinoctialis,white-chinned petrel,"Linnaeus, 1758",SL,Y,N,VU,Special least concern,Vagrant - origin not defined,
30328,Animalia,Aves,Procellariidae,Procellaria parkinsoni,black petrel,"Gray, 1862",SL,Y,N,VI,Special least concern,International vagrant,
18334,Animalia,Aves,Procellariidae,Procellaria westlandica,Westland petrel,"Falla, 1946",SL,Y,N,VU,Special least concern,Vagrant - origin not defined,
22453,Animalia,Aves,Procellariidae,Pterodroma heraldica,Herald petrel,"Salvin, 1888",CR,Y,N,QAI,Critically Endangered,Naturally occurs in Australia and overseas,Critically endangered
1281,Animalia,Aves,Fregatidae,Fregata ariel,lesser frigatebird,"(Gray, 1845)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1282,Animalia,Aves,Fregatidae,Fregata minor,great frigatebird,"(Gmelin, 1789)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1267,Animalia,Aves,Sulidae,Sula dactylatra,masked booby,"Lesson, 1831",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1268,Animalia,Aves,Sulidae,Sula leucogaster,brown booby,"(Boddaert, 1783)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1270,Animalia,Aves,Sulidae,Sula sula,red-footed booby,"(Linnaeus, 1766)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1836,Animalia,Aves,Ardeidae,Botaurus poiciloptilus,Australasian bittern,"(Wagler, 1827)",E,Y,N,QAI,Endangered,Naturally occurs in Australia and overseas,Endangered
1825,Animalia,Aves,Threskiornithidae,Plegadis falcinellus,glossy ibis,"(Linnaeus, 1766)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1728,Animalia,Aves,Accipitridae,Erythrotriorchis radiatus,red goshawk,"(Latham, 1801)",E,Y,N,QA,Endangered,Australian endemic,Vulnerable
1702,Animalia,Aves,Accipitridae,Pandion cristatus,eastern osprey,"(Linnaeus, 1758)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1705,Animalia,Aves,Falconidae,Falco hypoleucos,grey falcon,"Gould, 1841",V,Y,Y,QA,Vulnerable,Australian endemic,Vulnerable
1958,Animalia,Aves,Burhinidae,Esacus magnirostris,beach stone-curlew," (Vieillot, 1818)",V,Y,N,QAI,Vulnerable,Naturally occurs in Australia and overseas,
1946,Animalia,Aves,Charadriidae,Charadrius bicinctus,double-banded plover,"Jardine & Selby, 1827",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
18332,Animalia,Aves,Charadriidae,Charadrius dubius,little ringed plover,"Scopoli, 1786",SL,Y,N,VU,Special least concern,Vagrant - origin not defined,
1948,Animalia,Aves,Charadriidae,Charadrius leschenaultii,greater sand plover,"Lesson, 1826",V,Y,N,QAI,Vulnerable,Naturally occurs in Australia and overseas,Vulnerable
1936,Animalia,Aves,Charadriidae,Charadrius mongolus,lesser sand plover,"Pallas, 1776",E,Y,N,QAI,Endangered,Naturally occurs in Australia and overseas,Endangered
1939,Animalia,Aves,Charadriidae,Charadrius veredus,oriental plover,"Gould, 1848",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1944,Animalia,Aves,Charadriidae,Pluvialis fulva,Pacific golden plover,"(Gmelin, 1789)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1931,Animalia,Aves,Charadriidae,Pluvialis squatarola,grey plover,"(Linnaeus, 1758)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1892,Animalia,Aves,Pedionomidae,Pedionomus torquatus,plains-wanderer,"Gould, 1841",CR,Y,N,QA,Critically Endangered,Australian endemic,Critically endangered
1883,Animalia,Aves,Rostratulidae,Rostratula australis,Australian painted-snipe,"(Gould, 1838)",E,Y,N,QA,Endangered,Australian endemic,Endangered
1885,Animalia,Aves,Scolopacidae,Actitis hypoleucos,common sandpiper,"(Linnaeus, 1758)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1872,Animalia,Aves,Scolopacidae,Arenaria interpres,ruddy turnstone,"(Linnaeus, 1758)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1874,Animalia,Aves,Scolopacidae,Calidris acuminata,sharp-tailed sandpiper,"(Horsfield, 1821)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1875,Animalia,Aves,Scolopacidae,Calidris alba,sanderling,"(Pallas, 1764)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1877,Animalia,Aves,Scolopacidae,Calidris canutus,red knot,"(Linnaeus, 1758)",E,Y,N,QAI,Endangered,Naturally occurs in Australia and overseas,Endangered
1863,Animalia,Aves,Scolopacidae,Calidris falcinellus,broad-billed sandpiper,"(Pontoppidan, 1763)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1878,Animalia,Aves,Scolopacidae,Calidris ferruginea,curlew sandpiper,"(Pontoppidan, 1763)",CR,Y,N,QAI,Critically Endangered,Naturally occurs in Australia and overseas,Critically endangered
1879,Animalia,Aves,Scolopacidae,Calidris melanotos,pectoral sandpiper,"(Vieillot, 1819)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1849,Animalia,Aves,Scolopacidae,Calidris pugnax,ruff,"(Linnaeus, 1758)",SL,Y,N,VU,Special least concern,Vagrant - origin not defined,
1880,Animalia,Aves,Scolopacidae,Calidris ruficollis,red-necked stint,"(Pallas, 1776)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1870,Animalia,Aves,Scolopacidae,Calidris subminuta,long-toed stint,"(Middendorff, 1853)",SL,Y,N,VU,Special least concern,Vagrant - origin not defined,
1856,Animalia,Aves,Scolopacidae,Calidris tenuirostris,great knot,"(Horsfield, 1821)",CR,Y,N,QAI,Critically Endangered,Naturally occurs in Australia and overseas,Critically endangered
1857,Animalia,Aves,Scolopacidae,Gallinago hardwickii,Latham's snipe,"(Gray, 1831)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1858,Animalia,Aves,Scolopacidae,Gallinago megala,Swinhoe's snipe,"Swinhoe, 1861",SL,Y,N,VU,Special least concern,Vagrant - origin not defined,
1865,Animalia,Aves,Scolopacidae,Limnodromus semipalmatus,Asian dowitcher,"(Blyth, 1848)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1867,Animalia,Aves,Scolopacidae,Limosa lapponica baueri,Western Alaskan bar-tailed godwit,"Naumann, 1836",V,Y,N,QAI,Vulnerable,Naturally occurs in Australia and overseas,Vulnerable
1855,Animalia,Aves,Scolopacidae,Limosa limosa,black-tailed godwit,"(Linnaeus, 1758)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1843,Animalia,Aves,Scolopacidae,Numenius madagascariensis,eastern curlew,"(Linnaeus, 1766)",E,Y,N,QAI,Endangered,Naturally occurs in Australia and overseas,Critically endangered
1844,Animalia,Aves,Scolopacidae,Numenius minutus,little curlew,"Gould, 1841",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1845,Animalia,Aves,Scolopacidae,Numenius phaeopus,whimbrel,"(Linnaeus, 1758)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1847,Animalia,Aves,Scolopacidae,Phalaropus lobatus,red-necked phalarope,"(Linnaeus, 1758)",SL,Y,N,VU,Special least concern,Vagrant - origin not defined,
1860,Animalia,Aves,Scolopacidae,Tringa brevipes,grey-tailed tattler,"(Vieillot, 1816)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1852,Animalia,Aves,Scolopacidae,Tringa glareola,wood sandpiper,"Linnaeus, 1758",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1861,Animalia,Aves,Scolopacidae,Tringa incana,wandering tattler,"(Gmelin, 1789)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1853,Animalia,Aves,Scolopacidae,Tringa nebularia,common greenshank,"(Gunnerus, 1767)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1841,Animalia,Aves,Scolopacidae,Tringa stagnatilis,marsh sandpiper,"(Bechstein, 1803)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
18831,Animalia,Aves,Scolopacidae,Tringa totanus,common redshank,"(Linnaeus, 1758)",SL,Y,N,VU,Special least concern,Vagrant - origin not defined,
1827,Animalia,Aves,Scolopacidae,Xenus cinereus,terek sandpiper,"(Guldenstadt, 1775)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1092,Animalia,Aves,Turnicidae,Turnix melanogaster,black-breasted button-quail,"(Gould, 1837)",V,Y,N,QA,Vulnerable,Australian endemic,Vulnerable
1093,Animalia,Aves,Turnicidae,Turnix olivii,buff-breasted button-quail,"Robinson, 1900",E,Y,Y,Q,Endangered,Queensland endemic,Endangered
1935,Animalia,Aves,Glareolidae,Glareola maldivarum,oriental pratincole,"Forster, 1795",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1901,Animalia,Aves,Stercorariidae,Stercorarius longicaudus,long-tailed jaeger,"Vieillot, 1819",SL,Y,N,VU,Special least concern,Vagrant - origin not defined,
26893,Animalia,Aves,Stercorariidae,Stercorarius maccormicki,South Polar skua,"(Saunders, 1893)",SL,Y,N,VI,Special least concern,International vagrant,
1902,Animalia,Aves,Stercorariidae,Stercorarius parasiticus,Arctic jaeger,"(Linnaeus, 1758)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1903,Animalia,Aves,Stercorariidae,Stercorarius pomarinus,pomarine jaeger,"(Temminck, 1815)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1916,Animalia,Aves,Laridae,Anous stolidus,brown noddy,"(Linnaeus, 1758)",SL,Y,N,QA,Special least concern,Australian endemic,
1920,Animalia,Aves,Laridae,Chlidonias leucopterus,white-winged black tern,"(Temminck, 1815)",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1886,Animalia,Aves,Laridae,Gelochelidon nilotica,gull-billed tern,"Gmelin, 1789",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1896,Animalia,Aves,Laridae,Hydroprogne caspia,Caspian tern,"Pallas, 1770",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1906,Animalia,Aves,Laridae,Onychoprion anaethetus,bridled tern,"Scopoli, 1786",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1897,Animalia,Aves,Laridae,Sterna dougallii,roseate tern,"Montagu, 1813",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1899,Animalia,Aves,Laridae,Sterna hirundo,common tern,"Linnaeus, 1758",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1890,Animalia,Aves,Laridae,Sterna sumatrana,black-naped tern,"Raffles, 1822",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1905,Animalia,Aves,Laridae,Sternula albifrons,little tern,"Pallas, 1764",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1900,Animalia,Aves,Laridae,Sternula nereis exsul,New Caledonian fairy tern,"Mathews, 1912",E,Y,N,VI,Endangered,International vagrant,
1895,Animalia,Aves,Laridae,Thalasseus bergii,crested tern,"Lichtenstein, 1823",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1171,Animalia,Aves,Cacatuidae,Calyptorhynchus lathami,glossy black-cockatoo,"(Temminck, 1807)",V,Y,N,QA,Vulnerable,Australian endemic,
22493,Animalia,Aves,Cacatuidae,Calyptorhynchus lathami erebus,glossy black-cockatoo (northern),"Schodde & Mason, 1993",V,Y,N,Q,Vulnerable,Queensland endemic,
22494,Animalia,Aves,Cacatuidae,Calyptorhynchus lathami lathami,glossy black-cockatoo (eastern),"Temminck, 1807",V,Y,N,QA,Vulnerable,Australian endemic,
1192,Animalia,Aves,Cacatuidae,Lophochroa leadbeateri,Major Mitchell's cockatoo,"(Vigors, 1831)",V,Y,N,QA,Vulnerable,Australian endemic,
1175,Animalia,Aves,Cacatuidae,Probosciger aterrimus macgillivrayi,palm cockatoo,"(Mathews, 1912)",E,Y,N,QI,Endangered,Naturally occurs in Queensland and overseas,Vulnerable
1164,Animalia,Aves,Psittacidae,Cyclopsitta diophthalma coxeni,Coxen's fig-parrot,"Gould, 1867",E,Y,N,QA,Endangered,Australian endemic,Endangered
1165,Animalia,Aves,Psittacidae,Cyclopsitta diophthalma macleayana,Macleay's fig-parrot,"Ramsay, 1874",V,Y,N,Q,Vulnerable,Queensland endemic,
1168,Animalia,Aves,Psittacidae,Eclectus roratus macgillivrayi,eclectus parrot (Cape York Peninsula),"Mathews, 1913",V,Y,N,Q,Vulnerable,Queensland endemic,
1149,Animalia,Aves,Psittacidae,Lathamus discolor,swift parrot,"(Shaw, 1790)",E,Y,N,QA,Endangered,Australian endemic,Critically endangered
1133,Animalia,Aves,Psittacidae,Pezoporus occidentalis,night parrot,"Gould, 1861",E,Y,Y,QA,Endangered,Australian endemic,Endangered
1135,Animalia,Aves,Psittacidae,Pezoporus wallicus wallicus,ground parrot,"(Kerr, 1792)",V,Y,N,QA,Vulnerable,Australian endemic,
1117,Animalia,Aves,Psittacidae,Psephotus chrysopterygius,golden-shouldered parrot,"Gould, 1858",E,Y,N,Q,Endangered,Queensland endemic,Endangered
1119,Animalia,Aves,Psittacidae,Psephotus pulcherrimus,paradise parrot,"Gould, 1845",PE,Y,N,QA,Extinct in the wild,Australian endemic,Extinct
1736,Animalia,Aves,Cuculidae,Cuculus optatus,oriental cuckoo,"Blyth, 1843",SL,Y,N,QAI,Special least concern,Naturally occurs in Australia and overseas,
1104,Animalia,Aves,Strigidae,Ninox rufa meesi,rufous owl (Cape York subspecies),"Mason & Schodde, 1980",NT,Y,N,Q,Near Threatened,Queensland endemic,
1107,Animalia,Aves,Strigidae,Ninox strenua,powerful owl,"(Gould, 1838)",V,Y,N,QA,Vulnerable,Australian endemic,
1097,Animalia,Aves,Tytonidae,Tyto novaehollandiae kimberli,masked owl (northern subspecies),"Mathews, 1912",V,Y,N,QA,Vulnerable,Australian endemic,Vulnerable
1467,Animalia,Aves,Menuridae,Menura alberti,Albert's lyrebird,"Bonaparte, 1851",NT,Y,N,QA,Near Threatened,Australian endemic,
1632,Animalia,Aves,Atrichornithidae,Atrichornis rufescens,rufous scrub-bird,"(Ramsay, 1867)",V,Y,Y,QA,Vulnerable,Australian endemic,Endangered
1563,Animalia,Aves,Maluridae,Amytornis barbatus,grey grasswren,"Favaloro & McEvey, 1968",NT,Y,Y,QA,Near Threatened,Australian endemic,
29885,Animalia,Aves,Maluridae,Amytornis barbatus barbatus,grey grasswren (Bulloo),"Favaloro & McEvey, 1968",E,Y,Y,QA,Endangered,Australian endemic,Endangered
