,Taxon_Id,Kingdom,Class,Family,Scientific_name,Common_name,Taxon_author,NCA_status,EPBC_status,Significant,Confidential,Endemicity
77,607,animals,amphibians,Hylidae,Litoria eucnemis,growling green eyed frog,"(Lonnberg, 1890)",C,,N,N,QAI
78,608,animals,amphibians,Hylidae,Litoria fallax,eastern sedgefrog,"(Peters, 1880)",C,,N,N,QA
79,609,animals,amphibians,Hylidae,Litoria freycineti,wallum rocketfrog,"Tschudi, 1838",V,,Y,N,QA
80,611,animals,amphibians,Hylidae,Litoria gracilenta,graceful treefrog,"(Peters, 1869)",C,,N,N,QA
81,612,animals,amphibians,Hylidae,Litoria inermis,bumpy rocketfrog,"(Peters, 1867)",C,,N,N,QA
82,613,animals,amphibians,Hylidae,Litoria infrafrenata,white lipped treefrog,"(Günther, 1867)",C,,N,N,QAI
83,29175,animals,amphibians,Hylidae,Litoria jungguy,northern stony creek frog,"Donnellan & Mahony, 2004",C,,N,N,Q
84,18279,animals,amphibians,Hylidae,Litoria kroombitensis,Kroombit treefrog,"Hoskin, Hines, Meyer, Clarke & Cunningham, 2013",CR,CE,Y,Y,Q
85,614,animals,amphibians,Hylidae,Litoria latopalmata,broad palmed rocketfrog,"Günther, 1867",C,,N,N,QA
86,616,animals,amphibians,Hylidae,Litoria longirostris,long snouted treefrog,"Tyler & Davies, 1977",NT,,Y,Y,Q
87,602,animals,amphibians,Hylidae,Litoria lorica,little waterfall frog,"Davies & McDonald, 1979",CR,CE,Y,Y,Q
88,618,animals,amphibians,Hylidae,Litoria microbelos,javelin frog,"Macleay, 1877",C,,N,N,QA
89,31630,animals,amphibians,Hylidae,Litoria myola,Kuranda treefrog,"Hoskin, 2007",CR,CE,Y,Y,Q
90,603,animals,amphibians,Hylidae,Litoria nannotis,waterfall frog,"(Andersson, 1916)",E,,Y,N,Q
91,604,animals,amphibians,Hylidae,Litoria nasuta,striped rocketfrog,"(Gray, 1842)",C,,N,N,QAI
92,605,animals,amphibians,Hylidae,Litoria nigrofrenata,tawny rocketfrog,"(Günther, 1867)",C,,N,N,QAI
93,606,animals,amphibians,Hylidae,Litoria nyakalensis,mountain mistfrog,"Liem, 1974",CR,CE,Y,N,Q
94,593,animals,amphibians,Hylidae,Litoria olongburensis,wallum sedgefrog,"Liem & Ingram, 1977",V,V,Y,N,QA
95,594,animals,amphibians,Hylidae,Litoria pallida,pallid rocketfrog,"Davies, Martin & Watson, 1983",C,,N,N,QA
96,595,animals,amphibians,Hylidae,Litoria pearsoniana,cascade treefrog,"(Copland, 1961)",V,,Y,N,QA
97,596,animals,amphibians,Hylidae,Litoria peronii,emerald spotted treefrog,"(Tschudi, 1838)",C,,N,N,QA
98,597,animals,amphibians,Hylidae,Litoria revelata,whirring treefrog,"Ingram, Corben & Hosmer, 1982",C,,N,N,QA
99,598,animals,amphibians,Hylidae,Litoria rheocola,common mistfrog,"Liem, 1974",E,,Y,N,Q
100,599,animals,amphibians,Hylidae,Litoria rothii,northern laughing treefrog,"(De Vis, 1884)",C,,N,N,QA
101,600,animals,amphibians,Hylidae,Litoria rubella,ruddy treefrog,"(Gray, 1842)",C,,N,N,QAI
102,610,animals,amphibians,Hylidae,Litoria serrata,tapping green eyed frog,"(Andersson, 1916)",V,,Y,N,Q
103,18440,animals,amphibians,Hylidae,Litoria sp. cf. cooloolensis (North Stradbroke Is population),,,NT,,Y,N,Q
104,591,animals,amphibians,Hylidae,Litoria spaldingi,northern creek frog,"(Hosmer, 1964)",C,,N,N,QA
105,587,animals,amphibians,Hylidae,Litoria subglandulosa,New England treefrog,"Tyler & Anstis, 1975",V,,Y,Y,QA
106,589,animals,amphibians,Hylidae,Litoria tyleri,southern laughing treefrog,"Martin, Watson, Gartside, Littlejohn & Loftus-Hills, 1979",C,,N,N,QA
