id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,status,source Status
4745807,Lepidium ginninderrense,Ginninderra Peppercress,Lepidium ginninderrense,https://id.biodiversity.org.au/taxon/apni/51269792,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
4745832,Liopholis montana,,Liopholis montana,https://biodiversity.org.au/afd/taxa/64f98a6a-4a37-4730-9d6e-8556a9a45c1d,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
4745810,Litoria aurea,Green And Golden Bell Frog,Litoria aurea,https://biodiversity.org.au/afd/taxa/e7adefa4-f799-4b46-8344-c2c0aa805759,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745819,Litoria castanea,Yellow-spotted Bell Frog,Litoria castanea,https://biodiversity.org.au/afd/taxa/898034f7-3665-4566-ada2-0ba6bf48a9b0,dr649,"[{'key': 'status', 'value': 'Critically Endangered'}, {'key': 'source Status', 'value': 'Critically Endangered'}]",Critically Endangered,Critically Endangered
4745795,Litoria raniformis,Southern Bell Frog,Litoria raniformis,https://biodiversity.org.au/afd/taxa/6e63311a-159e-44d5-ae3f-a63dfc0a829a,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745815,Litoria verreauxii alpina,Alpine Tree Frog,Litoria verreauxii alpina,https://biodiversity.org.au/afd/taxa/9e35aef8-6788-4070-b6ac-955915df25f6,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745839,Maccullochella macquariensis,Trout Cod,Maccullochella macquariensis,https://biodiversity.org.au/afd/taxa/1697dd30-7656-4450-a92e-b4c74b62cebc,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
4745799,Macquaria australasica,Macca,Macquaria australasica,https://biodiversity.org.au/afd/taxa/42c0f534-bbaa-46ed-90d6-4a78d69fb0e4,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
4745830,Mastacomys fuscus mordicus,Broad-toothed Rat (mainland),Mastacomys fuscus mordicus,https://biodiversity.org.au/afd/taxa/70e10fcf-b3e9-47d3-b5be-70c323570043,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745800,Melanodryas cucullata cucullata,Hooded Robin (south-eastern Form),Melanodryas (Melanodryas) cucullata cucullata,https://biodiversity.org.au/afd/taxa/f411b7e7-5818-45fc-b3d2-8dfa5ed45f1e,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
