id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,sourceStatus,status
4377502,Leionema beckleri,,Leionema beckleri,ALA_DR652_1970,dr652,"[{'key': 'sourceStatus', 'value': 'E'}, {'key': 'status', 'value': 'Endangered'}]",E,Endangered
4378539,Leionema ellipticum,,Leionema ellipticum,https://id.biodiversity.org.au/node/apni/2918990,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4377638,Leionema gracile,,Leionema gracile,https://id.biodiversity.org.au/node/apni/2906213,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4378571,Leionema obtusifolium,,Leionema obtusifolium,https://id.biodiversity.org.au/node/apni/2900053,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4377955,Medicosma elliptica,,Medicosma elliptica,https://id.biodiversity.org.au/node/apni/2898149,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4377587,Medicosma glandulosa,,Medicosma glandulosa,https://id.biodiversity.org.au/node/apni/2901333,dr652,"[{'key': 'sourceStatus', 'value': 'NT'}, {'key': 'status', 'value': 'Near threatened'}]",NT,Near threatened
4378331,Medicosma obovata,,Medicosma obovata,https://id.biodiversity.org.au/node/apni/2917046,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4377735,Murraya crenulata,,Murraya crenulata,ALA_DR652_1977,dr652,"[{'key': 'sourceStatus', 'value': 'E'}, {'key': 'status', 'value': 'Endangered'}]",E,Endangered
4377885,Phebalium distans,Mt Berryman Phebalium,Phebalium distans,https://id.biodiversity.org.au/node/apni/2908293,dr652,"[{'key': 'sourceStatus', 'value': 'E'}, {'key': 'status', 'value': 'Endangered'}]",E,Endangered
4378193,Phebalium glandulosum subsp. eglandulosum,Rusty Desert Phebalium,Phebalium glandulosum subsp. eglandulosum,https://id.biodiversity.org.au/node/apni/2902487,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4378535,Phebalium whitei,,Phebalium whitei,https://id.biodiversity.org.au/node/apni/2909327,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4377297,Philotheca acrolopha,,Philotheca acrolopha,https://id.biodiversity.org.au/node/apni/2894926,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4378524,Philotheca obovatifolia,,Philotheca obovatifolia,https://id.biodiversity.org.au/node/apni/2890238,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4378350,Philotheca sporadica,,Philotheca sporadica,https://id.biodiversity.org.au/node/apni/2896544,dr652,"[{'key': 'sourceStatus', 'value': 'NT'}, {'key': 'status', 'value': 'Near threatened'}]",NT,Near threatened
4378546,Zieria actites,Mt Larcom Stink Bush,Zieria actites,https://id.biodiversity.org.au/node/apni/2898795,dr652,"[{'key': 'sourceStatus', 'value': 'CR'}, {'key': 'status', 'value': 'Critically endangered'}]",CR,Critically endangered
4378091,Zieria adenodonta,Wollumbin Zieria,Zieria adenodonta,https://id.biodiversity.org.au/node/apni/2894658,dr652,"[{'key': 'sourceStatus', 'value': 'NT'}, {'key': 'status', 'value': 'Near threatened'}]",NT,Near threatened
4378620,Zieria alata,Mt Lewis Stink Bush,Zieria alata,https://id.biodiversity.org.au/node/apni/2897776,dr652,"[{'key': 'sourceStatus', 'value': 'CR'}, {'key': 'status', 'value': 'Critically endangered'}]",CR,Critically endangered
4377703,Zieria bifida,,Zieria bifida,https://id.biodiversity.org.au/node/apni/2895613,dr652,"[{'key': 'sourceStatus', 'value': 'E'}, {'key': 'status', 'value': 'Endangered'}]",E,Endangered
4377777,Zieria boolbunda,Boolbunda Stink Bush,Zieria boolbunda,https://id.biodiversity.org.au/node/apni/2901868,dr652,"[{'key': 'sourceStatus', 'value': 'CR'}, {'key': 'status', 'value': 'Critically endangered'}]",CR,Critically endangered
4378579,Zieria cephalophila,Sydney Heads Stink Bush,Zieria cephalophila,https://id.biodiversity.org.au/node/apni/2903535,dr652,"[{'key': 'sourceStatus', 'value': 'CR'}, {'key': 'status', 'value': 'Critically endangered'}]",CR,Critically endangered
4377877,Zieria collina,,Zieria collina,https://id.biodiversity.org.au/node/apni/2897589,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4377359,Zieria eungellaensis,Eungella Stink Bush,Zieria eungellaensis,https://id.biodiversity.org.au/node/apni/2886314,dr652,"[{'key': 'sourceStatus', 'value': 'CR'}, {'key': 'status', 'value': 'Critically endangered'}]",CR,Critically endangered
4377989,Zieria exsul,Banished Stink Bush,Zieria exsul,https://id.biodiversity.org.au/node/apni/2902255,dr652,"[{'key': 'sourceStatus', 'value': 'CR'}, {'key': 'status', 'value': 'Critically endangered'}]",CR,Critically endangered
4377771,Zieria fordii,Ford's Stink Bush,Zieria fordii,ALA_DR652_1992,dr652,"[{'key': 'sourceStatus', 'value': 'CR'}, {'key': 'status', 'value': 'Critically endangered'}]",CR,Critically endangered
4377705,Zieria graniticola,,Zieria graniticola,https://id.biodiversity.org.au/node/apni/2886480,dr652,"[{'key': 'sourceStatus', 'value': 'E'}, {'key': 'status', 'value': 'Endangered'}]",E,Endangered
4378372,Zieria gymnocarpa,,Zieria gymnocarpa,ALA_DR652_1994,dr652,"[{'key': 'sourceStatus', 'value': 'CR'}, {'key': 'status', 'value': 'Critically endangered'}]",CR,Critically endangered
4377583,Zieria hydroscopica,Coominglah Stink Bush,Zieria hydroscopica,https://id.biodiversity.org.au/node/apni/2887011,dr652,"[{'key': 'sourceStatus', 'value': 'CR'}, {'key': 'status', 'value': 'Critically endangered'}]",CR,Critically endangered
4378198,Zieria inexpectata,,Zieria inexpectata,https://id.biodiversity.org.au/node/apni/2895297,dr652,"[{'key': 'sourceStatus', 'value': 'E'}, {'key': 'status', 'value': 'Endangered'}]",E,Endangered
4377975,Zieria madida,Thornton Peak Stink Bush,Zieria madida,https://id.biodiversity.org.au/node/apni/2913872,dr652,"[{'key': 'sourceStatus', 'value': 'CR'}, {'key': 'status', 'value': 'Critically endangered'}]",CR,Critically endangered
4377579,Zieria montana,Mt Barney Stink Bush,Zieria montana,https://id.biodiversity.org.au/node/apni/2904058,dr652,"[{'key': 'sourceStatus', 'value': 'CR'}, {'key': 'status', 'value': 'Critically endangered'}]",CR,Critically endangered
