id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,vernacularName,category,WildNetTaxonID,status,generalisation
5545046,Cophixalus concinnus,Elegant Frog,Cophixalus concinnus,https://biodiversity.org.au/afd/taxa/abfe518d-2c58-4c08-9c5b-172fa60e4aa5,dr493,"[{'key': 'vernacularName', 'value': 'beautiful nurseryfrog'}, {'key': 'category', 'value': 'CR'}, {'key': 'WildNetTaxonID', 'value': '29399'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",beautiful nurseryfrog,CR,29399,Critically Endangered,2 km
5544972,Cophixalus kulakula,Kutini Boulder-frog,Cophixalus kulakula,https://biodiversity.org.au/afd/taxa/09e0fa40-8e7b-447d-89be-3e6aba2ed039,dr493,"[{'key': 'vernacularName', 'value': 'Kutini boulder-frog'}, {'key': 'category', 'value': 'LC'}, {'key': 'WildNetTaxonID', 'value': '34088'}, {'key': 'status', 'value': 'Least concern'}, {'key': 'generalisation', 'value': '2 km'}]",Kutini boulder-frog,LC,34088,Least concern,2 km
5544595,Cophixalus mcdonaldi,Mcdonald's Frog,Cophixalus mcdonaldi,https://biodiversity.org.au/afd/taxa/24b1b668-bb91-42ef-a906-2f215ef591bd,dr493,"[{'key': 'vernacularName', 'value': 'Mount Elliot nurseryfrog'}, {'key': 'category', 'value': 'CR'}, {'key': 'WildNetTaxonID', 'value': '709'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",Mount Elliot nurseryfrog,CR,709,Critically Endangered,2 km
5544449,Cophixalus monticola,Mountain Nurseryfrog,Cophixalus monticola,https://biodiversity.org.au/afd/taxa/cfedc2d5-7752-4326-8c5c-ed9463576257,dr493,"[{'key': 'vernacularName', 'value': 'mountain nurseryfrog'}, {'key': 'category', 'value': 'CR'}, {'key': 'WildNetTaxonID', 'value': '710'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",mountain nurseryfrog,CR,710,Critically Endangered,2 km
5544663,Cophixalus neglectus,Neglected Frog,Cophixalus neglectus,https://biodiversity.org.au/afd/taxa/54be80d1-37c0-4b30-b26e-56e58163f4cb,dr493,"[{'key': 'vernacularName', 'value': 'Bellenden Ker nurseryfrog'}, {'key': 'category', 'value': 'CR'}, {'key': 'WildNetTaxonID', 'value': '711'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",Bellenden Ker nurseryfrog,CR,711,Critically Endangered,2 km
5544380,Cophixalus pakayakulangun,Golden-capped Boulder-frog,Cophixalus pakayakulangun,https://biodiversity.org.au/afd/taxa/77e20a7e-04f5-47bd-a45d-66dc9a643267,dr493,"[{'key': 'vernacularName', 'value': 'golden-capped boulder-frog'}, {'key': 'category', 'value': 'LC'}, {'key': 'WildNetTaxonID', 'value': '34089'}, {'key': 'status', 'value': 'Least concern'}, {'key': 'generalisation', 'value': '2 km'}]",golden-capped boulder-frog,LC,34089,Least concern,2 km
5545314,Cophixalus petrophilus,Blotched Boulder-frog,Cophixalus petrophilus,https://biodiversity.org.au/afd/taxa/fc5a6301-701d-4e0f-92e6-506423ea38f3,dr493,"[{'key': 'vernacularName', 'value': 'blotched boulder-frog'}, {'key': 'category', 'value': 'LC'}, {'key': 'WildNetTaxonID', 'value': '34968'}, {'key': 'status', 'value': 'Least concern'}, {'key': 'generalisation', 'value': '2 km'}]",blotched boulder-frog,LC,34968,Least concern,2 km
5544995,Cophixalus zweifeli,Zweifel's Frog,Cophixalus zweifeli,https://biodiversity.org.au/afd/taxa/9f1cc87c-6c80-470c-ae55-07f124745c62,dr493,"[{'key': 'vernacularName', 'value': 'Cape Melville boulderfrog'}, {'key': 'category', 'value': 'LC'}, {'key': 'WildNetTaxonID', 'value': '19463'}, {'key': 'status', 'value': 'Least concern'}, {'key': 'generalisation', 'value': '2 km'}]",Cape Melville boulderfrog,LC,19463,Least concern,2 km
5544934,Litoria andiirrmalin,Melville Range Treefrog,Litoria andiirrmalin,https://biodiversity.org.au/afd/taxa/2c53c748-1e5a-47f7-8dce-58ebdb7040db,dr493,"[{'key': 'vernacularName', 'value': 'Melville Range treefrog'}, {'key': 'category', 'value': 'VU'}, {'key': 'WildNetTaxonID', 'value': '18173'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'generalisation', 'value': '2 km'}]",Melville Range treefrog,VU,18173,Vulnerable,2 km
5545202,Litoria kroombitensis,Kroombit Treefrog,Litoria kroombitensis,https://biodiversity.org.au/afd/taxa/a7a0371e-350f-4e3f-8a7b-618ddafaf76d,dr493,"[{'key': 'vernacularName', 'value': 'Kroombit treefrog'}, {'key': 'category', 'value': 'CR'}, {'key': 'WildNetTaxonID', 'value': '18279'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",Kroombit treefrog,CR,18279,Critically Endangered,2 km
