id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,generalisation,category
4746248,Persoonia hirsuta,Hairy Geebung,Persoonia hirsuta,https://id.biodiversity.org.au/node/apni/2902498,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
4746123,Caladenia tessellata,Thick Lip Spider Orchid,Caladenia tessellata,https://id.biodiversity.org.au/taxon/apni/51399404,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746320,Dendrobium melaleucaphilum,Spider Orchid,Dendrobium melaleucaphilum,https://id.biodiversity.org.au/taxon/apni/51402880,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746246,Acacia dangarensis,,Acacia dangarensis,https://id.biodiversity.org.au/node/apni/2915433,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
4746222,Isotoma fluviatilis subsp. fluviatilis,,Isotoma fluviatilis subsp. fluviatilis,https://id.biodiversity.org.au/node/apni/2897543,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
4746235,Fontainea oraria,Coastal Fontainea,Fontainea oraria,https://id.biodiversity.org.au/node/apni/2917992,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746216,Pterostylis foliata,Slender Greenhood,Pterostylis foliata,https://id.biodiversity.org.au/taxon/apni/51412140,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746152,Pimelea venosa,Bolivia Hill Rice-flower,Pimelea venosa,https://id.biodiversity.org.au/node/apni/2891541,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
4746156,Oberonia titania,Norfolk Island Oberonia,Oberonia titania,https://id.biodiversity.org.au/taxon/apni/51406765,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746195,Pterostylis gibbosa,Illawarra Greenhood,Pterostylis gibbosa,https://id.biodiversity.org.au/taxon/apni/51412148,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746122,Grevillea caleyi,Caley's Grevillea,Grevillea caleyi,https://id.biodiversity.org.au/node/apni/2912335,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
4746134,Caladenia concolor,Crimson Spider Orchid,Caladenia concolor,https://id.biodiversity.org.au/taxon/apni/51398911,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746243,Caladenia rosella,Little Pink Spider-orchid,Caladenia rosella,https://id.biodiversity.org.au/taxon/apni/51399335,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746218,Cheilanthes sieberi subsp. pseudovellea,,Cheilanthes sieberi subsp. pseudovellea,https://id.biodiversity.org.au/node/apni/2907348,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
