VBATaxonId,scientificName,vernacularName,scientificNameAuthoritiy,family,FFGStatus,FFGDesc,EPBCStatus,EPBCDesc,sourceStatus,status,VBARestriction,VBA_origin,speciesGroup,identificationRemarks,VBATreaty,VBA_discipline,kingdom,taxonRank,modified
15256,Michelea microphylla,Michelea Species 5256,"Poore, 1997",Micheleidae,cr,Critically endangered,,,vu,Vulnerable,Restricted viewing taxon,,Invertebrates,,,Terrestrial fauna,Animalia,Species,23/06/2021
1845,Wundacaenis flabellum,Mayfly,"Suter, 1993",Caenidae,,,,,vu,Vulnerable,Restricted viewing taxon,,Invertebrates,,,Aquatic invertebrates,Animalia,Species,23/07/2018
3186,Westriplectes angelae,Caddisfly,"Neboiss, 1979",Leptoceridae,,,,,vu,Vulnerable,Restricted viewing taxon,,Invertebrates,,,Aquatic invertebrates,Animalia,Species,20/07/2018
75190,Oecetis quadrula,Caddisfly,"Wells, 2006",Leptocerinae,,,,,vu,Vulnerable,Restricted viewing taxon,,Invertebrates,,,Terrestrial fauna,Animalia,Species,20/11/2012
75211,Pseudocloeon hypodelum,Mayfly,"Lugo-Ortiz, McCafferty & Waltz, 1999",Baetidae,,,,,vu,Vulnerable,Restricted viewing taxon,,Invertebrates,,,Terrestrial fauna,Animalia,Species,26/03/2019
503916,Pterostylis cheraphila,Floodplain Rustyhood,D.L. Jones & M.A. Clem.,Orchidaceae,en,Endangered,VU,Vulnerable,v,Vulnerable,Restricted viewing taxon,,Monocotyledons,Medium herb,,Flora,Plantae,Species,23/06/2021
504486,Caladenia formosa,Elegant Spider-orchid,G.W. Carr,Orchidaceae,cr,Critically endangered,VU,Vulnerable,v,Vulnerable,Restricted viewing taxon,,Monocotyledons,Medium herb,,Flora,Plantae,Species,23/06/2021
502819,Pterostylis tenuissima,Swamp Greenhood,Nicholls,Orchidaceae,,,VU,Vulnerable,v,Vulnerable,Restricted viewing taxon,,Monocotyledons,Medium herb,,Flora,Plantae,Species,19/08/2020
500338,Caladenia tensa,Rigid Spider-orchid,G.W. Carr,Orchidaceae,,,EN,Endangered,v,Vulnerable,Restricted viewing taxon,,Monocotyledons,Medium herb,,Flora,Plantae,Species,18/01/2019
500541,Caladenia flavovirens,Christmas Spider-orchid,G.W. Carr,Orchidaceae,cr,Critically endangered,,,r,Rare,Restricted viewing taxon,,Monocotyledons,Large herb,,Flora,Plantae,Species,23/06/2021
2496,Riekoperla intermedia,Stonefly,"Theischinger, 1985",Gripopterygidae,vu,Vulnerable,,,en,Endangered,Restricted viewing taxon,,Invertebrates,,,Aquatic invertebrates,Animalia,Species,23/06/2021
1695,Engaeus phyllocercus,Narracan Burrowing Crayfish,"Smith & Schuster, 1913",Parastacidae,en,Endangered,,,en,Endangered,Restricted viewing taxon,,"Mussels, decopod crustacea",,,Aquatic fauna,Animalia,Species,23/06/2021
1683,Engaeus rostrogaleatus,Strzelecki Burrowing Crayfish,"Horwitz, 1990",Parastacidae,en,Endangered,,,en,Endangered,Restricted viewing taxon,,"Mussels, decopod crustacea",,,Aquatic fauna,Animalia,Species,23/06/2021
1634,Euastacus crassus,Alpine Spiny Crayfish,"Riek, 1951",Parastacidae,en,Endangered,,,en,Endangered,Restricted viewing taxon,,"Mussels, decopod crustacea",,,Aquatic fauna,Animalia,Species,23/06/2021
1887,Hemiphlebia mirabilis,Ancient Greenling Damselfly,"Selys, 1869",Hemiphlebiidae,en,Endangered,,,en,Endangered,Restricted viewing taxon,,Invertebrates,,,Aquatic invertebrates,Animalia,Species,23/06/2021
12144,Aprasia parapulchella,Pink-tailed Worm-Lizard,,Pygopodidae,en,Endangered,VU,Vulnerable,en,Endangered,Restricted viewing taxon,,Reptiles,,,Terrestrial fauna,Animalia,Species,23/06/2021
15050,Victaphanta compacta,Otway Black Snail,"(Cox & Hedley, 1912)",Rhytididae,en,Endangered,,,en,Endangered,Restricted viewing taxon,,Invertebrates,,,Terrestrial fauna,Animalia,Species,23/06/2021
12525,Morethia adelaidensis,Samphire Skink,,Scincidae,en,Endangered,,,en,Endangered,Restricted viewing taxon,,Reptiles,,,Terrestrial fauna,Animalia,Species,23/06/2021
528521,Galaxias aequipinnis,East Gippsland Galaxias,"Gunther, 1871",Galaxiinae,cr,Critically endangered,,,en,Endangered,Restricted viewing taxon,,Fish,,,Aquatic fauna,Animalia,Species,23/06/2021
528520,Galaxias terenasus,Roundsnout Galaxias,"Raadik, 2014",Galaxiinae,cr,Critically endangered,,,en,Endangered,Restricted viewing taxon,,Fish,,,Aquatic fauna,Animalia,Species,23/06/2021
1464,Austrogammarus australis,Dandenong Freshwater Amphipod,"(Sayce, 1901)",Paramelitidae,cr,Critically endangered,,,en,Endangered,Restricted viewing taxon,,Aquatic invertebrates,,,Aquatic invertebrates,Animalia,Species,23/06/2021
12287,Varanus rosenbergi,Rosenberg's Goanna,,Varanidae,cr,Critically endangered,,,en,Endangered,Restricted viewing taxon,,Reptiles,,,Terrestrial fauna,Animalia,Species,23/06/2021
13936,Litoria watsoni,Watson's Tree Frog,,Hylidae,cr,Critically endangered,VU,Vulnerable,en,Endangered,Restricted viewing taxon,,Amphibians,,,Terrestrial fauna,Animalia,Species,16/07/2021
505904,Prasophyllum sp. aff. validum A,Woodland Leek-orchid,sensu Rouse (2002),Orchidaceae,en,Endangered,,,e,Endangered,Restricted viewing taxon,,Monocotyledons,Large herb,,Flora,Plantae,Species,23/06/2021
503957,Pterostylis despectans,Lowly Greenhood,(Nicholls) M.A. Clem. & D.L. Jones,Orchidaceae,en,Endangered,EN,Endangered,e,Endangered,Restricted viewing taxon,,Monocotyledons,Small or prostrate herb,,Flora,Plantae,Species,23/06/2021
504854,Pterostylis valida,Robust Greenhood,(Nicholls) D.L. Jones,Orchidaceae,en,Endangered,CR,Critically Endangered,e,Endangered,Restricted viewing taxon,,Monocotyledons,Medium herb,,Flora,Plantae,Species,23/06/2021
503367,Thelymitra epipactoides,Metallic Sun-orchid,F. Muell.,Orchidaceae,en,Endangered,EN,Endangered,e,Endangered,Restricted viewing taxon,,Monocotyledons,Medium herb,,Flora,Plantae,Species,23/06/2021
504347,Caladenia concolor,Crimson Spider-orchid,Fitzg.,Orchidaceae,en,Endangered,VU,Vulnerable,e,Endangered,Restricted viewing taxon,,Monocotyledons,Medium herb,,Flora,Plantae,Species,23/06/2021
505592,Caladenia cretacea,Stuart Mill Spider-orchid,(D.L. Jones) G.N. Backh.,Orchidaceae,en,Endangered,,,e,Endangered,Restricted viewing taxon,,Monocotyledons,Medium herb,,Flora,Plantae,Species,23/06/2021
505499,Caladenia cruciformis,Red-cross Spider-orchid,D.L. Jones,Orchidaceae,en,Endangered,,,e,Endangered,Restricted viewing taxon,,Monocotyledons,Medium herb,,Flora,Plantae,Species,23/06/2021
504498,Caladenia fulva,Tawny Spider-orchid,G.W. Carr,Orchidaceae,en,Endangered,EN,Endangered,e,Endangered,Restricted viewing taxon,,Monocotyledons,Medium herb,,Flora,Plantae,Species,23/06/2021
500522,Caladenia versicolor,Candy Spider-orchid,G.W. Carr,Orchidaceae,en,Endangered,VU,Vulnerable,e,Endangered,Restricted viewing taxon,,Monocotyledons,Medium herb,,Flora,Plantae,Species,23/06/2021
504691,Caladenia xanthochila,Yellow-lip Spider-orchid,D. Beards. & C. Beards.,Orchidaceae,en,Endangered,EN,Endangered,e,Endangered,Restricted viewing taxon,,Monocotyledons,Medium herb,,Flora,Plantae,Species,23/06/2021
502709,Prasophyllum frenchii,Maroon Leek-orchid,F. Muell.,Orchidaceae,en,Endangered,EN,Endangered,e,Endangered,Restricted viewing taxon,,Monocotyledons,Large herb,,Flora,Plantae,Species,23/06/2021
502722,Prasophyllum niphopedium,Marsh Leek-orchid,D.L. Jones,Orchidaceae,en,Endangered,,,e,Endangered,Restricted viewing taxon,,Monocotyledons,Medium herb,,Flora,Plantae,Species,23/06/2021
500431,Borya mirabilis,Grampians Pincushion-lily,Churchill,Boryaceae,cr,Critically endangered,EN,Endangered,e,Endangered,Restricted viewing taxon,,Monocotyledons,Medium herb,,Flora,Plantae,Species,23/06/2021
504434,Gaultheria hispida,Snow-berry,R. Br.,Ericaceae,cr,Critically endangered,,,e,Endangered,Restricted viewing taxon,,Dicotyledons,Medium shrub,,Flora,Plantae,Species,23/06/2021
505970,Bossiaea vombata,Wombat Bossiaea,J.H. Ross,Fabaceae,cr,Critically endangered,,,e,Endangered,Restricted viewing taxon,,Dicotyledons,Medium shrub,,Flora,Plantae,Species,23/06/2021
504565,Prasophyllum roseum,Pink-lip Leek-orchid,D.L. Jones & R.J. Bates,Orchidaceae,cr,Critically endangered,,,e,Endangered,Restricted viewing taxon,,Monocotyledons,Medium herb,,Flora,Plantae,Species,23/06/2021
504567,Prasophyllum suaveolens,Fragrant Leek-orchid,D.L. Jones & R.J. Bates,Orchidaceae,cr,Critically endangered,EN,Endangered,e,Endangered,Restricted viewing taxon,,Monocotyledons,Medium herb,,Flora,Plantae,Species,23/06/2021
502724,Prasophyllum subbisectum,Pomonal Leek-orchid,Nicholls,Orchidaceae,cr,Critically endangered,EN,Endangered,e,Endangered,Restricted viewing taxon,,Monocotyledons,Medium herb,,Flora,Plantae,Species,23/06/2021
504156,Pterostylis basaltica,Basalt Rustyhood,D.L. Jones & M.A. Clem.,Orchidaceae,cr,Critically endangered,EN,Endangered,e,Endangered,Restricted viewing taxon,,Monocotyledons,Medium herb,,Flora,Plantae,Species,23/06/2021
503936,Pterostylis xerophila,Desert Greenhood,M.A. Clem.,Orchidaceae,cr,Critically endangered,VU,Vulnerable,e,Endangered,Restricted viewing taxon,,Monocotyledons,Medium herb,,Flora,Plantae,Species,23/06/2021
503376,Thelymitra mackibbinii,Brilliant Sun-orchid,F. Muell.,Orchidaceae,cr,Critically endangered,VU,Vulnerable,e,Endangered,Restricted viewing taxon,,Monocotyledons,Medium herb,,Flora,Plantae,Species,23/06/2021
503726,Caladenia amoena,Charming Spider-orchid,D.L. Jones,Orchidaceae,cr,Critically endangered,EN,Endangered,e,Endangered,Restricted viewing taxon,,Monocotyledons,Medium herb,,Flora,Plantae,Species,23/06/2021
