scientificName,vernacularName,status,sourceStatus,generalisation
Acacia mutabilis subsp. rhynchophylla,,Priority 3: Poorly-known species,P3,10 km
Acacia mutabilis subsp. stipulifera,,Priority 3: Poorly-known species,P3,10 km
Acacia newbeyi,,Priority 3: Poorly-known species,P3,10 km
Acacia nigripilosa subsp. latifolia,,Priority 1: Poorly-known species,P1,10 km
Acacia nitidula,,Priority 3: Poorly-known species,P3,10 km
Acacia nodiflora,,Priority 3: Poorly-known species,P3,10 km
Acacia obesa,,Priority 3: Poorly-known species,P3,10 km
Acacia obtriangularis,,Priority 1: Poorly-known species,P1,10 km
Acacia oncinophylla subsp. oncinophylla,,Priority 3: Poorly-known species,P3,10 km
Acacia oncinophylla subsp. patulifolia,,"Priority 4: Rare, Near Threatened",P4,10 km
Acacia orthotropica,,Priority 2: Poorly-known species,P2,10 km
Acacia papulosa,,Priority 2: Poorly-known species,P2,10 km
Acacia parkerae,,Priority 3: Poorly-known species,P3,10 km
Acacia paula,,Priority 1: Poorly-known species,P1,10 km
Acacia pelophila,,Priority 1: Poorly-known species,P1,10 km
Acacia perpusilla,,Priority 1: Poorly-known species,P1,10 km
Acacia petricola,,Priority 2: Poorly-known species,P2,10 km
Acacia phacelia,,Priority 3: Poorly-known species,P3,10 km
Acacia phaeocalyx,,Priority 3: Poorly-known species,P3,10 km
Acacia pharangites,,Critically Endangered,CR,10 km
Acacia phlebopetala var. pubescens,,Priority 2: Poorly-known species,P2,10 km
Acacia plautella,,Priority 3: Poorly-known species,P3,10 km
Acacia plicata,,Priority 3: Poorly-known species,P3,10 km
Acacia prismifolia,,Critically Endangered,CR,10 km
Acacia pterocaulon,,Priority 1: Poorly-known species,P1,10 km
Acacia pulchella var. reflexa acuminate bracteole variant (R.J. Cumming 882),,Priority 3: Poorly-known species,P3,10 km
Acacia pygmaea,,Endangered,EN,10 km
Acacia recurvata,,Vulnerable,VU,10 km
Acacia repanda,,Priority 3: Poorly-known species,P3,10 km
Acacia repens,,Priority 1: Poorly-known species,P1,10 km
Acacia retrorsa,,Priority 2: Poorly-known species,P2,10 km
Acacia rhamphophylla,,Critically Endangered,CR,10 km
Acacia richardsii,,Priority 3: Poorly-known species,P3,10 km
Acacia ridleyana,,Priority 3: Poorly-known species,P3,10 km
Acacia ryaniana,,Priority 2: Poorly-known species,P2,10 km
Acacia scalena,,Priority 3: Poorly-known species,P3,10 km
Acacia sciophanes,,Critically Endangered,CR,10 km
Acacia sclerophylla var. pilosa,,Priority 2: Poorly-known species,P2,10 km
Acacia sclerophylla var. teretiuscula,,Priority 1: Poorly-known species,P1,10 km
Acacia sclerosperma subsp. glaucescens,,Priority 3: Poorly-known species,P3,10 km
Acacia seclusa,,Priority 1: Poorly-known species,P1,10 km
Acacia sedifolia subsp. pulvinata,,Priority 3: Poorly-known species,P3,10 km
Acacia semicircinalis,,"Priority 4: Rare, Near Threatened",P4,10 km
Acacia semitrullata,,"Priority 4: Rare, Near Threatened",P4,10 km
Acacia setulifera,,Priority 1: Poorly-known species,P1,10 km
Acacia shapelleae,,Vulnerable,VU,10 km
Acacia simulans,,"Priority 4: Rare, Near Threatened",P4,10 km
Acacia singula,,Priority 3: Poorly-known species,P3,10 km
Acacia smeringa,,Priority 1: Poorly-known species,P1,10 km
Acacia sp. Bigge Island (A.A. Mitchell 3436),,Priority 1: Poorly-known species,P1,10 km
Acacia sp. Binningup (G. Cockerton et al. WB 37784),,Priority 1: Poorly-known species,P1,10 km
Acacia sp. Cockburn Range (R. Pullen 10. 763),,Priority 3: Poorly-known species,P3,10 km
Acacia sp. Edgar Range (S.D. Hopper 1763),,Priority 1: Poorly-known species,P1,10 km
Acacia sp. Esperance (M.A. Burgman 1833b),,Priority 1: Poorly-known species,P1,10 km
Acacia sp. Forrestania (D. Angus DA 3001),,Priority 1: Poorly-known species,P1,10 km
Acacia sp. Goodlands (B.R. Maslin 7761),,Priority 1: Poorly-known species,P1,10 km
Acacia sp. Jack Hills (R. Meissner & Y. Caruso 4),,Priority 1: Poorly-known species,P1,10 km
Acacia sp. Kalannie North (B.R. Maslin 7702),,Priority 1: Poorly-known species,P1,10 km
Acacia sp. Kalannie North East (B.R. Maslin 7519),,Priority 1: Poorly-known species,P1,10 km
Acacia sp. L Kimberley Flora (T.G. Hartley 14569),,Priority 1: Poorly-known species,P1,10 km
Acacia sp. Manmanning (B.R. Maslin 7711),,Priority 1: Poorly-known species,P1,10 km
Acacia sp. Marble Bar (J.G. & M.H. Simmons 3499),,Priority 1: Poorly-known species,P1,10 km
Acacia sp. Marshall Pool (G. Cockerton 3024),,Priority 3: Poorly-known species,P3,10 km
Acacia sp. Muggon Station (S. Patrick & D. Edinger SP 3235),,Priority 2: Poorly-known species,P2,10 km
Acacia sp. New Norcia (E.A. Griffin 5917),,Priority 1: Poorly-known species,P1,10 km
Acacia sp. Nullagine (B.R. Maslin 4955),,Priority 1: Poorly-known species,P1,10 km
Acacia sp. Petrudor Rocks (B.R. Maslin 7714),,Priority 1: Poorly-known species,P1,10 km
Acacia sp. Ravensthorpe Range (B.R. Maslin 5463),,Priority 1: Poorly-known species,P1,10 km
Acacia sp. Southern Cross (G. Cockerton et al. WB 38518),,Priority 1: Poorly-known species,P1,10 km
Acacia sp. Yinnetharra (L. Sweedman 8229),,Priority 1: Poorly-known species,P1,10 km
Acacia speckii,,"Priority 4: Rare, Near Threatened",P4,10 km
Acacia spectrum,,Priority 2: Poorly-known species,P2,10 km
Acacia splendens,,Critically Endangered,CR,10 km
Acacia stanleyi,,Priority 1: Poorly-known species,P1,10 km
Acacia startii,,Priority 3: Poorly-known species,P3,10 km
Acacia stereophylla var. cylindrata,,Priority 2: Poorly-known species,P2,10 km
Acacia subflexuosa subsp. capillata,,Critically Endangered,CR,10 km
Acacia subrigida,,Priority 2: Poorly-known species,P2,10 km
Acacia subsessilis,,Priority 3: Poorly-known species,P3,10 km
Acacia subtiliformis,,Priority 3: Poorly-known species,P3,10 km
Acacia sulcaticaulis,,Priority 1: Poorly-known species,P1,10 km
Acacia synantha,,Priority 2: Poorly-known species,P2,10 km
Acacia synoria,,Priority 2: Poorly-known species,P2,10 km
Acacia tayloriana,,"Priority 4: Rare, Near Threatened",P4,10 km
Acacia telmica,,Priority 3: Poorly-known species,P3,10 km
Acacia tetraneura,,Priority 1: Poorly-known species,P1,10 km
Acacia torticarpa,,Priority 1: Poorly-known species,P1,10 km
Acacia trinalis,,Priority 1: Poorly-known species,P1,10 km
Acacia truculenta,,Priority 3: Poorly-known species,P3,10 km
Acacia trulliformis,,"Priority 4: Rare, Near Threatened",P4,10 km
Acacia tuberculata,,Priority 2: Poorly-known species,P2,10 km
Acacia tumida var. extenta,,Priority 2: Poorly-known species,P2,10 km
Acacia undosa,,Priority 3: Poorly-known species,P3,10 km
Acacia unguicula,,Critically Endangered,CR,10 km
Acacia vassalii,,Critically Endangered,CR,10 km
Acacia veronica,,Priority 3: Poorly-known species,P3,10 km
Acacia vincentii,,Priority 1: Poorly-known species,P1,10 km
Acacia vittata,,Priority 2: Poorly-known species,P2,10 km
Acacia volubilis,,Critically Endangered,CR,10 km
Acacia websteri,,Priority 1: Poorly-known species,P1,10 km
Acacia wilcoxii,,Priority 1: Poorly-known species,P1,10 km
Acacia willingii,,Priority 1: Poorly-known species,P1,10 km
Acacia wilsonii,,Endangered,EN,10 km
Acacia woodmaniorum,,Endangered,EN,10 km
Acacia yorkrakinensis subsp. yorkrakinensis,,Priority 2: Poorly-known species,P2,10 km
Acacia zatrichota,,Priority 2: Poorly-known species,P2,10 km
Acalypha lanceolata var. lanceolata,,Priority 1: Poorly-known species,P1,10 km
Acanthocarpus parviflorus,,Priority 3: Poorly-known species,P3,10 km
Acanthocarpus rupestris,,Priority 2: Poorly-known species,P2,10 km
Acmella grandiflora var. brachyglossa,,Priority 3: Poorly-known species,P3,10 km
Acrostichum aureum,,Priority 1: Poorly-known species,P1,10 km
Acrotriche dura,,"Priority 4: Rare, Near Threatened",P4,10 km
Acrotriche orbicularis,,Vulnerable,VU,10 km
Actinostachys digitata,,Priority 2: Poorly-known species,P2,10 km
Actinotus repens,,Priority 3: Poorly-known species,P3,10 km
Actinotus rhomboideus,,"Priority 4: Rare, Near Threatened",P4,10 km
Actinotus whicheranus,,Priority 2: Poorly-known species,P2,10 km
Adelphacme minima,,Priority 3: Poorly-known species,P3,10 km
Adenanthos acanthophyllus,,Priority 2: Poorly-known species,P2,10 km
Adenanthos cacomorphus,,Priority 2: Poorly-known species,P2,10 km
Adenanthos cygnorum subsp. chamaephyton,,Priority 3: Poorly-known species,P3,10 km
Adenanthos detmoldii,,"Priority 4: Rare, Near Threatened",P4,10 km
Adenanthos dobagii,,Vulnerable,VU,10 km
Adenanthos ellipticus,,Vulnerable,VU,10 km
Adenanthos eyrei,,Endangered,EN,10 km
Adenanthos filifolius,,"Priority 4: Rare, Near Threatened",P4,10 km
Adenanthos gracilipes,,Priority 3: Poorly-known species,P3,10 km
Adenanthos ileticos,,"Priority 4: Rare, Near Threatened",P4,10 km
Adenanthos linearis,,Priority 2: Poorly-known species,P2,10 km
Adenanthos pungens subsp. effusus,,Critically Endangered,CR,10 km
Adenanthos pungens subsp. pungens,,Endangered,EN,10 km
Adenanthos velutinus,,Endangered,EN,10 km
Adenanthos x cunninghamii,,"Priority 4: Rare, Near Threatened",P4,10 km
Adenanthos x pamela,,"Priority 4: Rare, Near Threatened",P4,10 km
Adenostemma lavenia var. lanceolatum,,Priority 3: Poorly-known species,P3,10 km
Adiantum capillus-veneris,,Priority 2: Poorly-known species,P2,10 km
Adiantum hispidulum var. hispidulum,,Priority 2: Poorly-known species,P2,10 km
Aenictophyton anomalum,,Priority 1: Poorly-known species,P1,10 km
Afrohybanthus bennettiae,,Priority 2: Poorly-known species,P2,10 km
Aglaia brownii,,Priority 1: Poorly-known species,P1,10 km
Agrostocrinum scabrum subsp. littorale,,Priority 2: Poorly-known species,P2,10 km
Ailanthus triphysa,,Priority 1: Poorly-known species,P1,10 km
Aldrovanda vesiculosa,,Priority 2: Poorly-known species,P2,10 km
Alexgeorgea ganopoda,,Priority 3: Poorly-known species,P3,10 km
Allocasuarina anfractuosa,,Priority 1: Poorly-known species,P1,10 km
Allocasuarina eriochlamys subsp. grossa,,Priority 3: Poorly-known species,P3,10 km
Allocasuarina fibrosa,,Vulnerable,VU,10 km
Allocasuarina globosa,,Vulnerable,VU,10 km
Allocasuarina grevilleoides,,Priority 3: Poorly-known species,P3,10 km
Allocasuarina hystricosa,,"Priority 4: Rare, Near Threatened",P4,10 km
Allocasuarina ramosissima,,Priority 3: Poorly-known species,P3,10 km
Allocasuarina tessellata,,Priority 3: Poorly-known species,P3,10 km
Allocasuarina tortiramula,,Vulnerable,VU,10 km
Alphitonia excelsa,,Priority 2: Poorly-known species,P2,10 km
Aluta aspera subsp. localis,,Priority 2: Poorly-known species,P2,10 km
Aluta quadrata,,Endangered,EN,10 km
Aluta teres,,Priority 1: Poorly-known species,P1,10 km
Alyogyne sp. Great Victoria Desert (D.J. Edinger 6212),,Priority 3: Poorly-known species,P3,10 km
Alyogyne sp. Hyden (G.S. Durell GD 127) PN,,Priority 1: Poorly-known species,P1,10 km
Alyogyne sp. Rockingham (G.J. Keighery 14463),,Priority 2: Poorly-known species,P2,10 km
Alysicarpus major,,Priority 3: Poorly-known species,P3,10 km
Alysicarpus suffruticosus,,Priority 2: Poorly-known species,P2,10 km
Alyxia tetanifolia,,Priority 3: Poorly-known species,P3,10 km
Amanita carneiphylla,,Priority 3: Poorly-known species,P3,10 km
Amanita drummondii,,Priority 3: Poorly-known species,P3,10 km
Amanita fibrillopes,,Priority 3: Poorly-known species,P3,10 km
Amanita grandis,,Priority 2: Poorly-known species,P2,10 km
Amanita inculta,,Priority 2: Poorly-known species,P2,10 km
Amanita kalamundae,,Priority 3: Poorly-known species,P3,10 km
Amanita lesueurii,,Priority 2: Poorly-known species,P2,10 km
Amanita preissii,,Priority 3: Poorly-known species,P3,10 km
Amanita quenda,,Priority 1: Poorly-known species,P1,10 km
Amanita wadjukiorum,,Priority 3: Poorly-known species,P3,10 km
Amanita wadulawitu,,Priority 2: Poorly-known species,P2,10 km
Amanita walpolei,,Priority 2: Poorly-known species,P2,10 km
Amaranthus centralis,,Priority 3: Poorly-known species,P3,10 km
Amorphophallus galbra,,Priority 3: Poorly-known species,P3,10 km
Ampelopteris prolifera,,Priority 3: Poorly-known species,P3,10 km
Amperea micrantha,,Priority 2: Poorly-known species,P2,10 km
Amphibromus vickeryae,,Priority 1: Poorly-known species,P1,10 km
Amphidium tortuosum,,Priority 1: Poorly-known species,P1,10 km
Amyema pyriformis,,Priority 1: Poorly-known species,P1,10 km
"Anacampseros sp. Eremaean (F. Hort, J. Hort & J. Shanks 3248)",,Priority 1: Poorly-known species,P1,10 km
Andersonia annelsii,,Critically Endangered,CR,10 km
Andersonia auriculata,,Priority 3: Poorly-known species,P3,10 km
Andersonia axilliflora,,Critically Endangered,CR,10 km
Andersonia barbata,,Priority 2: Poorly-known species,P2,10 km
Andersonia bifida,,Priority 2: Poorly-known species,P2,10 km
Andersonia carinata,,Priority 2: Poorly-known species,P2,10 km
Andersonia echinocephala,,"Priority 4: Rare, Near Threatened",P4,10 km
Andersonia ferricola,,Priority 1: Poorly-known species,P1,10 km
Andersonia gracilis,,Vulnerable,VU,10 km
Andersonia grandiflora,,"Priority 4: Rare, Near Threatened",P4,10 km
Andersonia hammersleyana,,Priority 2: Poorly-known species,P2,10 km
Andersonia longifolia,,Priority 2: Poorly-known species,P2,10 km
Andersonia pinaster,,Vulnerable,VU,10 km
Andersonia redolens,,Priority 2: Poorly-known species,P2,10 km
Andersonia setifolia,,Priority 3: Poorly-known species,P3,10 km
Andersonia sp. Amabile (N. Gibson & M. Lyons 355),,Priority 3: Poorly-known species,P3,10 km
"Andersonia sp. Audax (F. Hort, B. Hort & J. Hort 3179)",,Priority 3: Poorly-known species,P3,10 km
Andersonia sp. Blepharifolia (F. & J. Hort 1919),,Priority 2: Poorly-known species,P2,10 km
Andersonia sp. Echidna (A.R. Annels ARA 5500),,Priority 2: Poorly-known species,P2,10 km
Andersonia sp. Jamesii (J. Liddelow 84),,"Priority 4: Rare, Near Threatened",P4,10 km
Andersonia sp. Mitchell River (B.G. Hammersley 925),,Priority 3: Poorly-known species,P3,10 km
Andersonia sp. Mt Lesueur (E.A. Griffin 5536),,Priority 2: Poorly-known species,P2,10 km
Andersonia sp. Mysosma (E.A. Griffin 2213) PN,,Priority 2: Poorly-known species,P2,10 km
Andersonia sp. Saxatilis (F. & J. Hort 3324),,Critically Endangered,CR,10 km
Andersonia sp. Virolens (G.J. Keighery 12000),,Priority 3: Poorly-known species,P3,10 km
Androcalva adenothalia,,Critically Endangered,CR,10 km
Androcalva bivillosa,,Critically Endangered,CR,10 km
Androcalva fragifolia,,Priority 1: Poorly-known species,P1,10 km
Androcalva microphylla,,Priority 2: Poorly-known species,P2,10 km
Androcalva perlaria,,Endangered,EN,10 km
Androcalva sp. York (C.F. Wilkins & A. Sole CW 2527),,Priority 1: Poorly-known species,P1,10 km
Angianthus drummondii,,Priority 3: Poorly-known species,P3,10 km
Angianthus globuliformis,,Priority 1: Poorly-known species,P1,10 km
Angianthus halophilus,,Priority 3: Poorly-known species,P3,10 km
Angianthus microcephalus,,Priority 2: Poorly-known species,P2,10 km
Angianthus micropodioides,,Priority 3: Poorly-known species,P3,10 km
Angianthus newbeyi,,Priority 2: Poorly-known species,P2,10 km
Angianthus prostratus,,Priority 3: Poorly-known species,P3,10 km
Angianthus sp. Salmon Gums (G.F. Craig 3074),,Priority 1: Poorly-known species,P1,10 km
Angianthus uniflorus,,Priority 1: Poorly-known species,P1,10 km
Anigozanthos bicolor subsp. exstans,,Priority 3: Poorly-known species,P3,10 km
Anigozanthos bicolor subsp. minor,,Vulnerable,VU,10 km
Anigozanthos humilis subsp. Badgingarra (S.D. Hopper 7114),,Priority 2: Poorly-known species,P2,10 km
Anigozanthos humilis subsp. chrysanthus,,"Priority 4: Rare, Near Threatened",P4,10 km
Anigozanthos viridis subsp. terraspectans,,Vulnerable,VU,10 km
Anthocercis fasciculata,,"Priority 4: Rare, Near Threatened",P4,10 km
Anthocercis gracilis,,Vulnerable,VU,10 km
Anthocercis intricata,,Priority 3: Poorly-known species,P3,10 km
Anthocercis sylvicola,,Priority 3: Poorly-known species,P3,10 km
Anthotium odontophyllum,,Priority 3: Poorly-known species,P3,10 km
Anthotium sp. Darling Range (F. Hort & B. Hort 2431),,Priority 1: Poorly-known species,P1,10 km
Anthotroche myoporoides,,Priority 3: Poorly-known species,P3,10 km
