scientificName,vernacularName,family,genus,sourceStatus,listedSpratTaxonId,currentSpratTaxonId,status
Cyanoramphus novaezelandiae subflavescens,"Lord Howe Tasman Parakeet, Red-crowned Parakeet (Lord Howe Island)",Psittacidae,Cyanoramphus,Extinct,26036,,Extinct
Cyathea exilis,a tree-fern,Cyatheaceae,Cyathea,Endangered,18628,,Endangered
Cycas cairnsiana,a cycad,Cycadaceae,Cycas,Vulnerable,5780,,Vulnerable
Cycas megacarpa,-,Cycadaceae,Cycas,Endangered,55794,,Endangered
Cycas ophiolitica,-,Cycadaceae,Cycas,Endangered,55797,,Endangered
Cycas platyphylla,a cycad,Cycadaceae,Cycas,Vulnerable,55796,,Vulnerable
Cycas silvestris,-,Cycadaceae,Cycas,Vulnerable,55778,,Vulnerable
Cyclodomorphus praealtus,Alpine She-oak Skink,Scincidae,Cyclodomorphus,Endangered,64721,,Endangered
Cyclophyllum costatum,a shrub,Rubiaceae,Cyclophyllum,Vulnerable,82770,,Vulnerable
Cyclopsitta diophthalma coxeni,Coxen's Fig-Parrot,Psittacidae,Cyclopsitta,Critically Endangered,59714,,Critically Endangered
Cynanchum elegans,White-flowered Wax Plant,Apocynaceae,Cynanchum,Endangered,12533,,Endangered
Cyperus cephalotes,-,Cyperaceae,Cyperus,Endangered,10265,,Endangered
Cyperus semifertilis,-,Cyperaceae,Cyperus,Vulnerable,21559,,Vulnerable
Cyrtodactylus sadleiri,Christmas Island Giant Gecko,Gekkonidae,Cyrtodactylus,Endangered,86865,,Endangered
Daphnandra johnsonii,Illawarra Socketwood,Monimiaceae,Daphnandra,Endangered,67186,,Endangered
Darwinia acerosa,Fine-leaved Darwinia,Myrtaceae,Darwinia,Endangered,9004,,Endangered
Darwinia apiculata,Scarp Darwinia,Proteaceae,Darwinia,Endangered,8763,,Endangered
Darwinia biflora,-,Myrtaceae,Darwinia,Vulnerable,14619,,Vulnerable
Darwinia carnea,"Mogumber Bell, Narrogin Bell",Myrtaceae,Darwinia,Endangered,9736,,Endangered
Darwinia chapmaniana,Chapman's Bell,Myrtaceae,Darwinia,Endangered,64877,,Endangered
Darwinia collina,Yellow Mountain Bell,Myrtaceae,Darwinia,Critically Endangered,17296,,Critically Endangered
Darwinia ferricola,Scott River Darwinia,Myrtaceae,Darwinia,Endangered,56706,,Endangered
Darwinia foetida,Muchea Bell,Myrtaceae,Darwinia,Critically Endangered,83190,,Critically Endangered
Darwinia masonii,Mason's Darwinia,Myrtaceae,Darwinia,Vulnerable,18538,,Vulnerable
Darwinia meeboldii,Cranbrook Bell,Myrtaceae,Darwinia,Vulnerable,21512,,Vulnerable
Darwinia nubigena,"Success Bell, Red Mountain Bell",Myrtaceae,Darwinia,Vulnerable,83191,,Vulnerable
Darwinia oxylepis,Gillam's Bell,Myrtaceae,Darwinia,Endangered,13188,,Endangered
Darwinia polychroma,Harlequin Bell,Myrtaceae,Darwinia,Endangered,83192,,Endangered
Darwinia squarrosa,"Fringed Mountain Bell, Pink Mountain Bell",Myrtaceae,Darwinia,Vulnerable,15694,,Vulnerable
Darwinia whicherensis,Abba Bell,Myrtaceae,Darwinia,Endangered,83193,,Endangered
Darwinia wittwerorum,Wittwer's Mountain Bell,Myrtaceae,Darwinia,Endangered,15626,,Endangered
Dasymalla axillaris,Native Foxglove,Lamiaceae,Dasymalla,Critically Endangered,38829,,Critically Endangered
Dasyornis brachypterus,Eastern Bristlebird,Dasyornithidae,Dasyornis,Endangered,533,,Endangered
Dasyornis broadbenti litoralis,"Rufous Bristlebird (western), South-western Rufous Bristlebird",Dasyornithidae,Dasyornis,Extinct,25972,,Extinct
Dasyornis longirostris,Western Bristlebird,Dasyornithidae,Dasyornis,Endangered,515,,Endangered
Dasyuroides byrnei,"Kowari, brushy-tailed marsupial rat, Byrne's crest-tailed marsupial rat",Dasyuridae,Dasyuroides,Vulnerable,329,,Vulnerable
Dasyurus geoffroii,"Chuditch, Western Quoll",Dasyuridae,Dasyurus,Vulnerable,330,,Vulnerable
Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",Dasyuridae,Dasyurus,Endangered,331,,Endangered
Dasyurus maculatus gracilis,"Spotted-tailed Quoll (North Queensland), Yarri",Dasyuridae,Dasyurus,Endangered,64475,,Endangered
Dasyurus maculatus maculatus (SE mainland population),"Spot-tailed Quoll, Spotted-tail Quoll, Tiger Quoll (southeastern mainland population)",Dasyuridae,Dasyurus,Endangered,75184,,Endangered
Dasyurus maculatus maculatus (Tasmanian population),"Spotted-tail Quoll, Spot-tailed Quoll, Tiger Quoll (Tasmanian population)",Dasyuridae,Dasyurus,Vulnerable,75183,,Vulnerable
Dasyurus viverrinus,"Eastern Quoll, Luaner",Dasyuridae,Dasyurus,Endangered,333,,Endangered
Davidsonia jerseyana,Davidson's Plum,Cunoniaceae,Davidsonia,Endangered,67219,,Endangered
Davidsonia johnsonii,"Smooth Davidsonia, Smooth Davidson's Plum, Small-leaved Davidson's Plum",Cunoniaceae,Davidsonia,Endangered,67178,,Endangered
Daviesia bursarioides,Three Springs Daviesia,Fabaceae,Daviesia,Endangered,56696,,Endangered
Daviesia cunderdin,Cunderdin Daviesia,Fabaceae,Daviesia,Endangered,64882,,Endangered
Daviesia dielsii,Diels' Daviesia,Fabaceae,Daviesia,Endangered,19617,,Endangered
Daviesia discolor,-,Fabaceae,Daviesia,Vulnerable,3567,,Vulnerable
Daviesia elongata subsp. elongata,Long-leaved Daviesia,Fabaceae,Daviesia,Vulnerable,64883,,Vulnerable
Daviesia euphorbioides,Wongan Cactus,Fabaceae,Daviesia,Endangered,3477,,Endangered
Daviesia glossosema,Maroon-flowered Daviesia,Fabaceae,Daviesia,Critically Endangered,65037,,Critically Endangered
Daviesia laevis,Grampians Bitter-pea,Fabaceae,Daviesia,Vulnerable,55052,,Vulnerable
Daviesia megacalyx,Long-sepalled Daviesia,Fabaceae,Daviesia,Endangered,56785,,Endangered
Daviesia microcarpa,Norseman Pea,Fabaceae,Daviesia,Endangered,56766,,Endangered
Daviesia obovata,Paddle-leaf Daviesia,Fabaceae,Daviesia,Endangered,17311,,Endangered
Daviesia ovata,Broad-leaf Daviesia,Fabaceae,Daviesia,Critically Endangered,21193,,Critically Endangered
Daviesia pseudaphylla,Stirling Range Daviesia,Fabaceae,Daviesia,Critically Endangered,56747,,Critically Endangered
Daviesia speciosa,Beautiful Daviesia,Fabaceae,Daviesia,Endangered,56698,,Endangered
Decaspermum struckoilicum,Struck Oil Myrtle,Myrtaceae,Decaspermum,Critically Endangered,78796,,Critically Endangered
Delma impar,"Striped Legless Lizard, Striped Snake-lizard",Pygopodidae,Delma,Vulnerable,1649,,Vulnerable
Delma mitella,"Atherton Delma, Legless Lizard",Pygopodidae,Delma,Vulnerable,25931,,Vulnerable
Delma torquata,"Adorned Delma, Collared Delma",Pygopodidae,Delma,Vulnerable,1656,,Vulnerable
Dendrobium antennatum,Antelope Orchid,Orchidaceae,Dendrobium,Endangered,15240,,Endangered
Dendrobium bigibbum,Cooktown Orchid,Orchidaceae,Dendrobium,Vulnerable,10306,,Vulnerable
Dendrobium brachypus,Norfolk Island Orchid,Orchidaceae,Dendrobium,Endangered,2592,,Endangered
Dendrobium johannis,Chocolate Tea Tree Orchid,Orchidaceae,Dendrobium,Vulnerable,13585,,Vulnerable
Dendrobium mirbelianum,"Dark-stemmed Antler Orchid, Mangrove Orchid",Orchidaceae,Dendrobium,Endangered,14310,,Endangered
Dendrobium nindii,an orchid,Orchidaceae,Dendrobium,Endangered,11289,,Endangered
Dendronephthya australis,Cauliflower Soft Coral,Nephtheidae,Dendronephthya,Endangered,90325,,Endangered
Denhamia megacarpa,Large-fruited Denhamia,Celastraceae,Denhamia,Endangered,91342,,Endangered
Denhamia parvifolia,Small-leaved Denhamia,Celastraceae,Denhamia,Vulnerable,18106,,Vulnerable
Denisonia maculata,Ornamental Snake,Elapidae,Denisonia,Vulnerable,1193,,Vulnerable
Dermochelys coriacea,"Leatherback Turtle, Leathery Turtle, Luth",Dermochelyidae,Dermochelys,Endangered,1768,,Endangered
Desmodium acanthocladum,Thorny Pea,Fabaceae,Desmodium,Vulnerable,17972,93275.0,Vulnerable
Deyeuxia appressa,-,Poaceae,Deyeuxia,Endangered,7438,,Endangered
Deyeuxia drummondii,"Drummond's Grass, Drummond Grass",Poaceae,Deyeuxia,Endangered,20644,,Endangered
Deyeuxia lawrencei,-,Poaceae,Deyeuxia,Extinct,12432,,Extinct
Deyeuxia pungens,Narrow-leaf Bent-grass,Poaceae,Deyeuxia,Vulnerable,24421,,Vulnerable
Dianella amoena,Matted Flax-lily,Phormiaceae,Dianella,Endangered,64886,,Endangered
Dichanthium queenslandicum,King Blue-grass,Poaceae,Dichanthium,Endangered,5481,,Endangered
Dichanthium setosum,bluegrass,Poaceae,Dichanthium,Vulnerable,14159,,Vulnerable
Didymoglossum exiguum,-,Hymenophyllaceae,Didymoglossum,Extinct,24118,,Extinct
Diomedea amsterdamensis,Amsterdam Albatross,Diomedeidae,Diomedea,Endangered,64405,,Endangered
Diomedea antipodensis,Antipodean Albatross,Diomedeidae,Diomedea,Vulnerable,64458,,Vulnerable
Diomedea antipodensis gibsoni,Gibson's Albatross,Diomedeidae,Diomedea,Vulnerable,82270,,Vulnerable
Diomedea dabbenena,Tristan Albatross,Diomedeidae,Diomedea,Endangered,66471,,Endangered
Diomedea epomophora,Southern Royal Albatross,Diomedeidae,Diomedea,Vulnerable,89221,,Vulnerable
Diomedea exulans,Wandering Albatross,Diomedeidae,Diomedea,Vulnerable,89223,,Vulnerable
Diomedea sanfordi,Northern Royal Albatross,Diomedeidae,Diomedea,Endangered,64456,,Endangered
Diospyros mabacea,"Red-fruited Ebony, Silky Persimmon, Ebony",Ebenaceae,Diospyros,Endangered,18548,,Endangered
Diplazium cordifolium,-,Athyriaceae,Diplazium,Vulnerable,15585,,Vulnerable
Diplazium pallidum,-,Athyriaceae,Diplazium,Endangered,12764,,Endangered
Diploglottis campbellii,Small-leaved Tamarind,Sapindaceae,Diploglottis,Endangered,21484,,Endangered
Diplolaena andrewsii,-,Rutaceae,Diplolaena,Endangered,6601,,Endangered
Dipodium campanulatum,Bell Flower Hyacinth Orchid,Orchidaceae,Dipodium,Endangered,55051,,Endangered
Dipodium pictum,-,Orchidaceae,Dipodium,Endangered,2723,,Endangered
Dischidia litoralis,-,Asclepiadaceae,Dischidia,Vulnerable,82026,,Vulnerable
Diuris aequalis,Buttercup Doubletail,Orchidaceae,Diuris,Endangered,21588,,Endangered
Diuris basaltica,"Small Golden Moths Orchid, Early Golden Moths",Orchidaceae,Diuris,Endangered,64654,,Endangered
Diuris bracteata,-,Orchidaceae,Diuris,Extinct,20090,,Extinct
Diuris drummondii,Tall Donkey Orchid,Orchidaceae,Diuris,Vulnerable,4365,,Vulnerable
Diuris eborensis,-,Orchidaceae,Diuris,Endangered,88275,,Endangered
Diuris flavescens,"Pale Yellow Doubletail, Wingham Doubletail",Orchidaceae,Diuris,Critically Endangered,55075,,Critically Endangered
Diuris fragrantissima,"Sunshine Diuris, Fragrant Doubletail, White Diuris",Orchidaceae,Diuris,Endangered,21243,,Endangered
Diuris lanceolata,Snake Orchid,Orchidaceae,Diuris,Endangered,10231,,Endangered
Diuris micrantha,Dwarf Bee-orchid,Orchidaceae,Diuris,Vulnerable,55082,,Vulnerable
Diuris ochroma,Pale Golden Moths,Orchidaceae,Diuris,Vulnerable,64565,,Vulnerable
Diuris pedunculata,"Small Snake Orchid, Two-leaved Golden Moths, Golden Moths, Cowslip Orchid, Snake Orchid",Orchidaceae,Diuris,Endangered,18325,,Endangered
Diuris praecox,Newcastle Doubletail,Orchidaceae,Diuris,Vulnerable,55086,,Vulnerable
Diuris purdiei,Purdie's Donkey-orchid,Orchidaceae,Diuris,Endangered,12950,,Endangered
Diuris venosa,"Veined Doubletail, Goat Orchid, Veined Donkey-orchid",Orchidaceae,Diuris,Vulnerable,6425,,Vulnerable
Dodonaea procumbens,Trailing Hop-bush,Sapindaceae,Dodonaea,Vulnerable,12149,,Vulnerable
Dodonaea rupicola,Velvet Hopbush,Sapindaceae,Dodonaea,Vulnerable,15140,,Vulnerable
Dodonaea subglandulifera,Peep Hill Hop-bush,Sapindaceae,Dodonaea,Endangered,11956,,Endangered
Drakaea concolor,Kneeling Hammer-orchid,Orchidaceae,Drakaea,Vulnerable,56777,,Vulnerable
Drakaea confluens,Late Hammer-orchid,Orchidaceae,Drakaea,Endangered,56778,,Endangered
Drakaea elastica,"Glossy-leafed Hammer Orchid, Glossy-leaved Hammer Orchid,  Warty Hammer Orchid",Orchidaceae,Drakaea,Endangered,16753,,Endangered
Drakaea isolata,Lonely Hammer-orchid,Orchidaceae,Drakaea,Endangered,64669,,Endangered
Drakaea micrantha,Dwarf Hammer-orchid,Orchidaceae,Drakaea,Vulnerable,56755,,Vulnerable
Dromaius ater,King Island Emu,Dromaiidae,Dromaius,Extinct,66724,,Extinct
Dromaius baudinianus,Kangaroo Island Emu,Dromaiidae,Dromaius,Extinct,26183,,Extinct
Dromaius novaehollandiae diemenensis,"Tasmanian Emu, Emu (Tasmanian)",Dromaiidae,Dromaius,Extinct,64437,,Extinct
Drosera prolifera,-,Droseraceae,Drosera,Vulnerable,9940,,Vulnerable
Drosera schizandra,-,Droseraceae,Drosera,Vulnerable,17085,,Vulnerable
Drummondita ericoides,Morseby Range Drummondita,Rutaceae,Drummondita,Endangered,9193,,Endangered
Drummondita longifolia,Peak Charles Drummondita,Rutaceae,Drummondita,Vulnerable,64888,,Vulnerable
Dryococelus australis,"Lord Howe Island Phasmid, Land Lobster",Phasmatidae,Dryococelus,Critically Endangered,66752,,Critically Endangered
Duma horrida subsp. abdita,Remote Thorny Lignum,Polygonaceae,Duma,Critically Endangered,87538,,Critically Endangered
Dysoxylum bijugum,"Sharkwood, a tree",Meliaceae,Dysoxylum,Vulnerable,65892,,Vulnerable
Egernia roomi,"Kaputar Rock Skink, Mt Kaputar Rock Skink",Scincidae,Egernia,Critically Endangered,90714,,Critically Endangered
Egernia rugosa,Yakka Skink,Scincidae,Egernia,Vulnerable,1420,,Vulnerable
Egernia stokesii badia,"Western Spiny-tailed Skink, Baudin Island Spiny-tailed Skink",Scincidae,Egernia,Endangered,64483,,Endangered
Eidothea hardeniana,Nightcap Oak,Proteaceae,Eidothea,Critically Endangered,76351,,Critically Endangered
Elaeocarpus miegei,-,Elaeocarpaceae,Elaeocarpus,Endangered,65147,,Endangered
Elaeocarpus sedentarius,Minyon Quandong,Elaeocarpaceae,Elaeocarpus,Endangered,83093,,Endangered
Elaeocarpus williamsianus,Hairy Quandong,Elaeocarpaceae,Elaeocarpus,Endangered,8956,,Endangered
Elatostema montanum,Mountain Procris,Urticaceae,Elatostema,Critically Endangered,33862,,Critically Endangered
Eleocharis keigheryi,Keighery's Eleocharis,Cyperaceae,Eleocharis,Vulnerable,64893,,Vulnerable
Eleocharis obicis,a spike rush,Cyperaceae,Eleocharis,Vulnerable,15320,,Vulnerable
Eleocharis papillosa,Dwarf Desert Spike-rush,Cyperaceae,Eleocharis,Vulnerable,2519,,Vulnerable
Eleocharis retroflexa,a sedge,Cyperaceae,Eleocharis,Vulnerable,23672,,Vulnerable
Elseya albagula,"Southern Snapping Turtle, White-throated Snapping Turtle",Chelidae,Elseya,Critically Endangered,81648,,Critically Endangered
Elseya lavarackorum,Gulf Snapping Turtle,Chelidae,Elseya,Endangered,67197,,Endangered
Elusor macrurus,"Mary River Turtle, Mary River Tortoise",Chelidae,Elusor,Endangered,64389,,Endangered
Emoia nativitatis,"Christmas Island Forest Skink, Christmas Island Whiptail-skink",Scincidae,Emoia,Extinct,1400,,Extinct
Endiandra cooperana,-,Lauraceae,Endiandra,Endangered,52889,,Endangered
Endiandra floydii,"Floyd's Walnut, Crystal Creek Walnut",Lauraceae,Endiandra,Endangered,52955,,Endangered
Endiandra hayesii,"Rusty Rose Walnut, Velvet Laurel",Lauraceae,Endiandra,Vulnerable,13866,,Vulnerable
Engaeus granulatus,Central North Burrowing Crayfish,Parastacidae,Engaeus,Endangered,78959,,Endangered
Engaeus martigener,Furneaux Burrowing Crayfish,Parastacidae,Engaeus,Endangered,67220,,Endangered
Engaeus orramakunna,Mount Arthur Burrowing Crayfish,Parastacidae,Engaeus,Vulnerable,66778,,Vulnerable
Engaeus spinicaudatus,Scottsdale Burrowing Crayfish,Parastacidae,Engaeus,Endangered,66780,,Endangered
Engaeus yabbimunna,Burnie Burrowing Crayfish,Parastacidae,Engaeus,Vulnerable,66781,,Vulnerable
Engaewa pseudoreducta,Margaret River Burrowing Crayfish,Parastacidae,Engaewa,Critically Endangered,82674,,Critically Endangered
Engaewa reducta,Dunsborough Burrowing Crayfish,Parastacidae,Engaewa,Critically Endangered,82675,,Critically Endangered
Engaewa walpolea,Walpole Burrowing Crayfish,Parastacidae,Engaewa,Endangered,82676,,Endangered
Epacris apsleyensis,Apsley Heath,Epacridaceae,Epacris,Endangered,15428,,Endangered
Epacris barbata,"Bearded Heath, Freycinet Heath",Epacridaceae,Epacris,Endangered,17625,,Endangered
Epacris exserta,South Esk Heath,Epacridaceae,Epacris,Endangered,19879,,Endangered
Epacris glabella,"Funnel Heath, Smooth Heath",Epacridaceae,Epacris,Endangered,24010,,Endangered
Epacris grandis,"Grand Heath, Tall Heath",Epacridaceae,Epacris,Endangered,18719,,Endangered
Epacris graniticola,"Mt Cameron Heath, Granite Heath",Epacridaceae,Epacris,Critically Endangered,82822,,Critically Endangered
Epacris hamiltonii,-,Epacridaceae,Epacris,Endangered,8700,,Endangered
Epacris limbata,"Border Heath, Bordered Heath",Epacridaceae,Epacris,Critically Endangered,24011,,Critically Endangered
Epacris sparsa,-,Ericaceae,Epacris,Vulnerable,16450,,Vulnerable
Epacris stuartii,"Stuart's Heath, Southport Heath",Epacridaceae,Epacris,Critically Endangered,10348,,Critically Endangered
Epacris virgata,"Pretty Heath, Dan Hill Heath",Epacridaceae,Epacris,Endangered,20375,,Endangered
Epilobium brunnescens subsp. beaugleholei,Bog Willow-herb,Onagraceae,Epilobium,Vulnerable,6192,,Vulnerable
Epinephelus daemelii,"Black Rockcod, Black Cod, Saddled Rockcod",Serranidae,Epinephelus,Vulnerable,68449,,Vulnerable
Epthianura crocea macgregori,"Capricorn Yellow Chat, Yellow Chat (Dawson)",Meliphagidae,Epthianura,Critically Endangered,67090,,Critically Endangered
Epthianura crocea tunneyi,"Alligator Rivers Yellow Chat, Yellow Chat (Alligator Rivers)",Meliphagidae,Epthianura,Endangered,67089,,Endangered
Eremochloa muricata,-,Poaceae,Eremochloa,Endangered,6469,,Endangered
Eremophila ciliata,-,Scrophulariaceae,Eremophila,Endangered,84926,,Endangered
Eremophila denticulata subsp. denticulata,Fitzgerald Eremophila,Myoporaceae,Eremophila,Vulnerable,64569,,Vulnerable
Eremophila denticulata subsp. trisulcata,Cumquat Eremophila,Myoporaceae,Eremophila,Endangered,64570,,Endangered
Eremophila glabra subsp. chlorella,-,Scrophulariaceae,Eremophila,Endangered,84927,,Endangered
Eremophila glabra subsp. Scaddan (C.Turley s.n. 10/11/2005),-,Scrophulariaceae,Eremophila,Critically Endangered,89454,,Critically Endangered
Eremophila koobabbiensis,"Koobabbie Eremophila, Koobabbie Poverty Bush",Scrophulariaceae,Eremophila,Critically Endangered,86684,,Critically Endangered
Eremophila lactea,Milky Emu Bush,Myoporaceae,Eremophila,Endangered,2416,,Endangered
Eremophila nivea,Silky Eremophila,Myoporaceae,Eremophila,Endangered,14431,,Endangered
Eremophila pinnatifida,Pinnate-leaf Eremophila,Myoporaceae,Eremophila,Endangered,64894,,Endangered
Eremophila prostrata,Rainbow Valley Fuchsia Bush,Scrophulariaceae,Eremophila,Vulnerable,56749,,Vulnerable
Eremophila resinosa,Resinous Eremophila,Myoporaceae,Eremophila,Endangered,11735,,Endangered
Eremophila rostrata,Beaked Eremophila,Myoporaceae,Eremophila,Critically Endangered,65124,,Critically Endangered
Eremophila scaberula,Rough Emu Bush,Myoporaceae,Eremophila,Endangered,16729,,Endangered
Eremophila sp. Narrow leaves (J.D.Start D12-150),-,Scrophulariaceae,Eremophila,Critically Endangered,89307,89829.0,Critically Endangered
Eremophila subteretifolia,Lake King Eremophila,Myoporaceae,Eremophila,Endangered,56702,,Endangered
Eremophila ternifolia,Wongan Eremophila,Myoporaceae,Eremophila,Endangered,2293,,Endangered
Eremophila vernicosa,Resinous Poverty Bush,Myoporaceae,Eremophila,Vulnerable,64596,,Vulnerable
Eremophila verticillata,Whorled Eremophila,Myoporaceae,Eremophila,Endangered,7032,,Endangered
Eremophila virens,"Campion Eremophila, Green-flowered Emu bush",Myoporaceae,Eremophila,Endangered,21433,,Endangered
Eremophila viscida,Varnish Bush,Myoporaceae,Eremophila,Endangered,2394,,Endangered
Eretmochelys imbricata,Hawksbill Turtle,Cheloniidae,Eretmochelys,Vulnerable,1766,,Vulnerable
Eriocaulon australasicum,"Austral Pipewort, Southern Pipewort",Eriocaulaceae,Eriocaulon,Endangered,7649,,Endangered
Eriocaulon carsonii,"Salt Pipewort, Button Grass",Eriocaulaceae,Eriocaulon,Endangered,10584,,Endangered
Eryngium fontanum,Blue Devil,Apiaceae,Eryngium,Endangered,64516,,Endangered
Erythrotriorchis radiatus,Red Goshawk,Accipitridae,Erythrotriorchis,Endangered,942,,Endangered
Erythroxylum sp. Cholmondely Creek (J.R.Clarkson 9367) (Northern Territory Population),-,Erythroxylaceae,Erythroxylum,Vulnerable,91740,,Vulnerable
Erythrura gouldiae,Gouldian Finch,Estrildidae,Erythrura,Endangered,413,,Endangered
Euastacus bindal,Mt Elliot Crayfish,Parastacidae,Euastacus,Critically Endangered,86598,,Critically Endangered
Euastacus binzayedi,Embezee's Crayfish,Parastacidae,Euastacus,Critically Endangered,90755,,Critically Endangered
Euastacus bispinosus,"Glenelg Spiny Freshwater Crayfish, Pricklyback",Parastacidae,Euastacus,Endangered,81552,,Endangered
Euastacus dalagarbe,Mud Gully Crayfish,Parastacidae,Euastacus,Critically Endangered,83141,,Critically Endangered
Euastacus dharawalus,Fitzroy Falls Spiny Crayfish,Parastacidae,Euastacus,Critically Endangered,83143,,Critically Endangered
Euastacus eungella,Eungella Spiny Crayfish,Parastacidae,Euastacus,Endangered,86599,,Endangered
Euastacus gamilaroi,"Gamilaroi Crayfish, Gamilaroi Spiny Crayfish, Hanging Rock Crayfish",Parastacidae,Euastacus,Endangered,83144,,Endangered
Euastacus girurmulayn,Smooth Crayfish,Parastacidae,Euastacus,Endangered,83146,,Endangered
Euastacus gumar,"Bloodclaw Crayfish, Blood Crayfish",Parastacidae,Euastacus,Endangered,68363,,Endangered
Euastacus jagabar,Blue-black Crayfish,Parastacidae,Euastacus,Critically Endangered,83148,,Critically Endangered
Euastacus jagara,Jagara Hairy Crayfish,Parastacidae,Euastacus,Critically Endangered,86602,,Critically Endangered
Euastacus maidae,"Hinterland Spiny Crayfish, Hinterland Crayfish",Parastacidae,Euastacus,Critically Endangered,86603,,Critically Endangered
Euastacus monteithorum,"Monteith's Crayfish, Monteith's Spiny Crayfish",Parastacidae,Euastacus,Endangered,81542,,Endangered
Euastacus morgani,Morgan's Crayfish,Parastacidae,Euastacus,Critically Endangered,90715,,Critically Endangered
Euastacus rieki,Riek's Crayfish,Parastacidae,Euastacus,Endangered,83155,,Endangered
Euastacus robertsi,"Robert's Crayfish, Robert's Spiny Crayfish",Parastacidae,Euastacus,Endangered,86604,,Endangered
Euastacus suttoni,Sutton's Crayfish,Parastacidae,Euastacus,Endangered,83158,,Endangered
Euastacus vesper,Cudgegong Giant Spiny Crayfish,Parastacidae,Euastacus,Critically Endangered,90756,,Critically Endangered
Eubalaena australis,Southern Right Whale,Balaenidae,Eubalaena,Endangered,40,,Endangered
Eucalyptus absita,Badgingarra Box,Myrtaceae,Eucalyptus,Endangered,24260,,Endangered
Eucalyptus aggregata,Black Gum,Myrtaceae,Eucalyptus,Vulnerable,20890,,Vulnerable
Eucalyptus alligatrix subsp. limaensis,Lima Stringybark,Myrtaceae,Eucalyptus,Endangered,64340,,Endangered
Eucalyptus alligatrix subsp. miscella,a stringybark,Myrtaceae,Eucalyptus,Vulnerable,64341,,Vulnerable
Eucalyptus aquatica,"Mountain Swamp Gum, Broad-leaved Sallee, Broad-leaved Sally",Myrtaceae,Eucalyptus,Vulnerable,56173,,Vulnerable
Eucalyptus argophloia,"Queensland White Gum, Queensland Western White Gum, Lapunyah, Scrub Gum, White Gum",Myrtaceae,Eucalyptus,Vulnerable,19748,,Vulnerable
Eucalyptus argutifolia,"Yanchep Mallee, Wabling Hill Mallee",Myrtaceae,Eucalyptus,Vulnerable,24263,,Vulnerable
Eucalyptus articulata,Ponton Creek Mallee,Myrtaceae,Eucalyptus,Vulnerable,56772,,Vulnerable
Eucalyptus beaniana,Bean's Ironbark,Myrtaceae,Eucalyptus,Vulnerable,56320,,Vulnerable
Eucalyptus beardiana,Beard's Mallee,Myrtaceae,Eucalyptus,Vulnerable,18933,,Vulnerable
Eucalyptus benthamii,"Camden White Gum, Nepean River Gum",Myrtaceae,Eucalyptus,Vulnerable,2821,,Vulnerable
Eucalyptus brevipes,Mukinbudin Mallee,Myrtaceae,Eucalyptus,Endangered,7495,,Endangered
Eucalyptus broviniensis,-,Myrtaceae,Eucalyptus,Endangered,75593,,Endangered
Eucalyptus burdettiana,Burdett Gum,Myrtaceae,Eucalyptus,Endangered,13505,,Endangered
Eucalyptus cadens,Warby Range Swamp Gum,Myrtaceae,Eucalyptus,Vulnerable,21845,,Vulnerable
Eucalyptus caleyi subsp. ovendenii,Ovenden's Ironbark,Myrtaceae,Eucalyptus,Vulnerable,56193,,Vulnerable
Eucalyptus camfieldii,Camfield's Stringybark,Myrtaceae,Eucalyptus,Vulnerable,15460,,Vulnerable
Eucalyptus canobolensis,"Silver-leaf Candlebark, Mt Canobolas Candlebark",Myrtaceae,Eucalyptus,Endangered,64896,,Endangered
Eucalyptus ceracea,Seppelt Range Gum,Myrtaceae,Eucalyptus,Vulnerable,3889,,Vulnerable
Eucalyptus conglomerata,Swamp Stringybark,Myrtaceae,Eucalyptus,Endangered,3160,,Endangered
Eucalyptus copulans,-,Myrtaceae,Eucalyptus,Endangered,56225,,Endangered
Eucalyptus coronata,Crowned Mallee,Myrtaceae,Eucalyptus,Vulnerable,2308,,Vulnerable
Eucalyptus crenulata,"Silver Gum, Buxton Gum",Myrtaceae,Eucalyptus,Endangered,7193,,Endangered
Eucalyptus crispata,Yandanooka Mallee,Myrtaceae,Eucalyptus,Vulnerable,24268,,Vulnerable
Eucalyptus crucis subsp. crucis,Silver Mallee,Myrtaceae,Eucalyptus,Vulnerable,4474,,Vulnerable
Eucalyptus crucis subsp. praecipua,Paynes Find Mallee,Myrtaceae,Eucalyptus,Endangered,64650,,Endangered
Eucalyptus cuprea,Mallee Box,Myrtaceae,Eucalyptus,Endangered,56773,,Endangered
Eucalyptus dalveenica,Dalveen Blue Box,Myrtaceae,Eucalyptus,Critically Endangered,90823,,Critically Endangered
Eucalyptus dolorosa,"Dandaragan Mallee, Mount Misery Mallee",Myrtaceae,Eucalyptus,Endangered,56709,,Endangered
Eucalyptus forresterae,Brumby Sallee,Myrtaceae,Eucalyptus,Endangered,87837,,Endangered
Eucalyptus glaucina,Slaty Red Gum,Myrtaceae,Eucalyptus,Vulnerable,5670,,Vulnerable
Eucalyptus gunnii subsp. divaricata,Miena Cider Gum,Myrtaceae,Eucalyptus,Endangered,68394,,Endangered
Eucalyptus hallii,Goodwood Gum,Myrtaceae,Eucalyptus,Vulnerable,20433,,Vulnerable
