scientificName,vernacularName,family,genus,sourceStatus,listedSpratTaxonId,currentSpratTaxonId,status
Acacia cretacea,Chalky Wattle,Fabaceae,Acacia,Endangered,10689,,Endangered
Acacia crombiei,Pink Gidgee,Fabaceae,Acacia,Vulnerable,10927,,Vulnerable
Acacia curranii,Curly-bark Wattle,Fabaceae,Acacia,Vulnerable,3908,,Vulnerable
Acacia dangarensis,-,Fabaceae,Acacia,Critically Endangered,55214,,Critically Endangered
Acacia denticulosa,Sandpaper Wattle,Fabaceae,Acacia,Vulnerable,20600,,Vulnerable
Acacia depressa,Echidna Wattle,Fabaceae,Acacia,Vulnerable,5685,,Vulnerable
Acacia deuteroneura,-,Fabaceae,Acacia,Vulnerable,12836,,Vulnerable
Acacia enterocarpa,Jumping-jack Wattle,Fabaceae,Acacia,Endangered,17615,,Endangered
Acacia equisetifolia,a shrub,Fabaceae,Acacia,Critically Endangered,87480,,Critically Endangered
Acacia eremophiloides,-,Fabaceae,Acacia,Vulnerable,9280,,Vulnerable
Acacia flocktoniae,Flockton Wattle,Fabaceae,Acacia,Vulnerable,3134,,Vulnerable
Acacia forrestiana,Forest's Wattle,Fabaceae,Acacia,Vulnerable,17235,,Vulnerable
Acacia georgensis,Bega Wattle,Fabaceae,Acacia,Vulnerable,9848,,Vulnerable
Acacia glandulicarpa,Hairy-pod Wattle,Fabaceae,Acacia,Vulnerable,8838,,Vulnerable
Acacia gordonii,-,Fabaceae,Acacia,Endangered,5031,,Endangered
Acacia grandifolia,-,Fabaceae,Acacia,Vulnerable,3566,,Vulnerable
Acacia handonis,"Hando's Wattle, Percy Grant Wattle",Fabaceae,Acacia,Vulnerable,14928,,Vulnerable
Acacia imitans,Gibson Wattle,Fabaceae,Acacia,Endangered,65211,,Endangered
Acacia insolita subsp. recurva,Yornaning Wattle,Fabaceae,Acacia,Endangered,64495,,Endangered
Acacia kingiana,-,Fabaceae,Acacia,Extinct,13816,,Extinct
Acacia lanigera var. gracilipes,-,Fabaceae,Acacia,Endangered,31652,,Endangered
Acacia lanuginophylla,Woolly Wattle,Fabaceae,Acacia,Endangered,55575,,Endangered
Acacia latzii,Latz's Wattle,Fabaceae,Acacia,Vulnerable,14275,,Vulnerable
Acacia lauta,Tara Wattle,Fabaceae,Acacia,Vulnerable,4165,,Vulnerable
Acacia leptalea,Chinocup Wattle,Fabaceae,Acacia,Endangered,56701,,Endangered
Acacia leptoneura,-,Fabaceae,Acacia,Critically Endangered,15610,,Critically Endangered
Acacia lobulata,Chiddarcooping Wattle,Fabaceae,Acacia,Endangered,55567,,Endangered
Acacia macnuttiana,McNutt's Wattle,Fabaceae,Acacia,Vulnerable,10711,,Vulnerable
Acacia meiantha,-,Fabaceae,Acacia,Endangered,55608,,Endangered
Acacia menzelii,Menzel's Wattle,Fabaceae,Acacia,Vulnerable,9218,,Vulnerable
Acacia peuce,"Waddy, Waddi, Waddy-wood, Birdsville Wattle",Fabaceae,Acacia,Vulnerable,8301,,Vulnerable
Acacia pharangites,Wongan Gully Wattle,Fabaceae,Acacia,Endangered,20281,,Endangered
Acacia phasmoides,Phantom Wattle,Fabaceae,Acacia,Vulnerable,2784,,Vulnerable
Acacia pickardii,Birds Nest Wattle,Fabaceae,Acacia,Vulnerable,17259,,Vulnerable
Acacia pinguifolia,"Fat-leaved Wattle,  Fat-leaf Wattle",Fabaceae,Acacia,Endangered,5319,,Endangered
Acacia porcata,-,Fabaceae,Acacia,Endangered,55115,,Endangered
Acacia praemorsa,Senna Wattle,Fabaceae,Acacia,Vulnerable,55363,,Vulnerable
Acacia praetermissa,a shrub,Fabaceae,Acacia,Vulnerable,14840,,Vulnerable
Acacia prismifolia,Diels' Wattle,Fabaceae,Acacia,Extinct,19955,,Extinct
Acacia pubescens,"Downy Wattle, Hairy Stemmed Wattle",Fabaceae,Acacia,Vulnerable,18800,,Vulnerable
Acacia pubifolia,Velvet Wattle,Fabaceae,Acacia,Vulnerable,19799,,Vulnerable
Acacia purpureopetala,Purple-flowered Wattle,Fabaceae,Acacia,Critically Endangered,61156,,Critically Endangered
Acacia pycnostachya,Bolivia Wattle,Fabaceae,Acacia,Vulnerable,13415,,Vulnerable
Acacia pygmaea,Dwarf Rock Wattle,Fabaceae,Acacia,Endangered,56768,,Endangered
Acacia recurvata,Recurved Wattle,Fabaceae,Acacia,Endangered,64825,,Endangered
