scientificName,vernacularName,family,status,sourceStatus
Euphrasia collina subsp. tetragona,northcoast eyebright,Orobanchaceae,Endangered,e
Euphrasia fragosa,shy eyebright,Orobanchaceae,Endangered,e
Euphrasia gibbsiae subsp. psilantherea,swamp eyebright,Orobanchaceae,Endangered,e
Euphrasia gibbsiae subsp. pulvinestris,cushionplant eyebright,Orobanchaceae,Rare,r
Euphrasia gibbsiae subsp. wellingtonensis,mt wellington eyebright,Orobanchaceae,Rare,r
Euphrasia phragmostoma,hairy cliff-eyebright,Orobanchaceae,Vulnerable,v
Euphrasia scabra,yellow eyebright,Orobanchaceae,Endangered,e
Euphrasia semipicta,peninsula eyebright,Orobanchaceae,Endangered,e
Euphrasia sp. Bivouac Bay,masked cliff-eyebright,Orobanchaceae,Endangered,e
Eutaxia microphylla,spiny bushpea,Fabaceae,Rare,r
Frankenia pauciflora var. gunnii,southern seaheath,Frankeniaceae,Rare,r
Galium antarcticum,subantarctic bedstraw,Rubiaceae,Endangered,e
Geococcus pusillus,earth cress,Brassicaceae,Endangered,e
Geum talbotianum,tasmanian snowrose,Rosaceae,Rare,r
Glossostigma elatinoides,small mudmat,Phrymaceae,Rare,r
Glycine latrobeana,clover glycine,Fabaceae,Vulnerable,v
Glycine microphylla,small-leaf glycine,Fabaceae,Vulnerable,v
Gompholobium ecostatum,dwarf wedgepea,Fabaceae,Endangered,e
Goodenia geniculata,bent native-primrose,Goodeniaceae,Endangered,e
Gratiola pubescens,hairy brooklime,Plantaginaceae,Rare,r
Gynatrix pulchella,fragrant hempbush,Malvaceae,Rare,r
Gyrostemon thesioides,broom wheelfruit,Gyrostemonaceae,Rare,r
Hackelia latifolia,forest houndstongue,Boraginaceae,Rare,r
Hakea ulicina,furze needlebush,Proteaceae,Vulnerable,v
Haloragis aspera,rough raspwort,Haloragaceae,Vulnerable,v
Haloragis heterophylla,variable raspwort,Haloragaceae,Rare,r
Haloragis myriocarpa,prickly raspwort,Haloragaceae,Rare,r
Hardenbergia violacea,purple coralpea,Fabaceae,Endangered,e
Hedycarya angustifolia,australian mulberry,Monimiaceae,Rare,r
Hibbertia basaltica,basalt guineaflower,Dilleniaceae,Endangered,e
Hibbertia calycina,lesser guineaflower,Dilleniaceae,Vulnerable,v
Hibbertia obtusifolia,grey guineaflower,Dilleniaceae,Extinct,x
Hibbertia rufa,brown guineaflower,Dilleniaceae,Rare,r
Hibbertia virgata,twiggy guineaflower,Dilleniaceae,Rare,r
Hovea corrickiae,glossy purplepea,Fabaceae,Rare,r
Hovea montana,mountain purplepea,Fabaceae,Rare,r
Hovea tasmanica,rockfield purplepea,Fabaceae,Rare,r
Hyalosperma demissum,moss sunray,Asteraceae,Endangered,e
Hydrocotyle comocarpa,fringefruit pennywort,Araliaceae,Rare,r
Hydrocotyle laxiflora,stinking pennywort,Araliaceae,Endangered,e
Hydrorchis orbicularis,swamp onion-orchid,Orchidaceae,Rare,r
Hypolepis distans,scrambling groundfern,Dennstaedtiaceae,Endangered,e
Hypolepis muelleri,harsh groundfern,Dennstaedtiaceae,Rare,r
