scientificName,vernacularName,status,sourceStatus
Daviesia mimosoides subsp. acris,Blunt-leaf Bitter-pea,Endangered,Endangered
Daviesia pectinata,Thorny Bitter-pea,Critically Endangered,Critically Endangered
Daviesia wyattiana,Long-leaf Bitter-pea,Critically Endangered,Critically Endangered
Dendrobium speciosum var. speciosum,Rock Orchid,Critically Endangered,Critically Endangered
Dendrobium striolatum,Streaked Rock-orchid,Endangered,Endangered
Dendrophthoe vitellina,Long-flower Mistletoe,Critically Endangered,Critically Endangered
Deparia petersenii subsp. congrua,Japanese Lady-fern,Endangered,Endangered
Deschampsia cespitosa,Tufted Hair-grass,Endangered,Endangered
Desmodium brachypodum,Large Tick-trefoil,Vulnerable,Vulnerable
Deyeuxia affinis,Allied Bent-grass,Critically Endangered,Critically Endangered
Deyeuxia breviglumis,Alpine Bent-grass,Endangered,Endangered
Deyeuxia carinata,Keeled Bent-grass,Endangered,Endangered
Deyeuxia crassiuscula,Thick Bent-grass,Endangered,Endangered
Deyeuxia decipiens,Devious Bent-grass,Endangered,Endangered
Deyeuxia mesathera,Swamp Bent-grass,Extinct,Extinct
Deyeuxia pungens,Narrow-leaf Bent-grass,Critically Endangered,Critically Endangered
Deyeuxia ramosa,Climbing Bent-grass,Vulnerable,Vulnerable
Deyeuxia talariata,Skirted Bent-grass,Endangered,Endangered
Dianella amoena,Matted Flax-lily,Critically Endangered,Critically Endangered
Dianella callicarpa,Swamp Flax-lily,Endangered,Endangered
Dianella longifolia var. grandis s.l.,Glaucous Flax-lily,Critically Endangered,Critically Endangered
Dianella porracea,Riverine Flax-lily,Critically Endangered,Critically Endangered
Dianella sp. aff. longifolia (Benambra),Arching Flax-lily,Threatened,Threatened
Dianella tarda,Late-flower Flax-lily,Critically Endangered,Critically Endangered
Dichelachne robusta,Tall Plume-grass,Vulnerable,Vulnerable
Dichondra sp. 1,Silky Kidney-weed,Endangered,Endangered
Dicranoloma diaphanoneuron,Diaphanous Fork-moss,Critically Endangered,Critically Endangered
Dicranoloma platycaulon,Wavy Fork-moss,Endangered,Endangered
Digitaria ammophila,Silky Umbrella-grass,Endangered,Endangered
Digitaria diffusa,Open Summer-grass,Endangered,Endangered
Digitaria divaricatissima var. divaricatissima,Umbrella Grass,Endangered,Endangered
Dillwynia oreodoxa,Grampians Parrot-pea,Vulnerable,Vulnerable
